"vessel_name","MMSI","Flag","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","at_dock","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","percent_ais_voyage","vv_url"
"ATLANTIC PRINCE","312867000","BLZ","fishing","tuna_purse_seines","GHA","TEMA",2024-06-22 16:54:36,4,2024-07-26 06:32:49,4,33.5,"ABIDJAN",NA,TRUE,92.5861111111111,"GHA",FALSE,"FCWC, NAMMCO, IWC, ACAP, ICCAT",FALSE,NA,TRUE,4,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a8fa13d03-3876-ae64-a357-4823082c2984?&start=2024-06-20&end=2024-07-28"")"
"PEARL","312797000","BLZ","fishing","tuna_purse_seines","CIV","ABIDJAN",2024-06-22 08:14:29,4,2024-07-27 07:50:54,4,35,"ABIDJAN",NA,TRUE,21.5441666666667,NA,TRUE,"IWC, ACAP, ICCAT",FALSE,NA,TRUE,8,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b5d3439b6-6d19-5385-9d6b-08a0dfd60fa7?&start=2024-06-20&end=2024-07-29"")"
"PANOFI FORE RUNNER","627072000","GHA","fishing","tuna_purse_seines","GHA","TEMA",2024-08-01 08:08:40,4,2024-08-02 06:35:34,4,0.9,"ABIDJAN",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,69.6,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/04b95cb83-31d8-06e7-0845-8691696643f5?&start=2024-07-30&end=2024-08-04"")"
"SYDNEY SOFIA","356262000","PAN","fishing","inconclusive","CIV","ABIDJAN",2024-08-03 10:52:43,4,2024-08-27 07:18:00,4,23.8,"ABIDJAN",NA,TRUE,219.455555555556,"SLE, LBR",TRUE,"NAMMCO, ACAP, SRFC, ICCAT, FCWC, IWC",FALSE,NA,TRUE,7,62.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f2de78309-99b3-6b6a-2926-8af2b3051672?&start=2024-08-01&end=2024-08-29"")"
"HAIZEA BAT","306142000","CUW","fishing","inconclusive","CIV","ABIDJAN",2024-06-30 10:14:37,4,2024-08-08 06:03:23,4,38.8,"ABIDJAN",NA,TRUE,244.0075,"GAB, AGO, STP, CIV",TRUE,"COREP, IWC, FCWC, NAMMCO, ICCAT, ACAP",FALSE,NA,FALSE,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/83524b6ef-fe68-222c-e1cf-d77531c428ab?&start=2024-06-28&end=2024-08-10"")"
"HAO YUAN YU 861","412483274","CHN","fishing","inconclusive","CIV","ABIDJAN",2024-07-05 09:13:56,4,2024-07-06 06:27:55,4,0.9,"ABIDJAN",TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,9.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2186e505a-a159-78d6-2d2c-f111f0e811a1?&start=2024-07-03&end=2024-07-08"")"
"PEARL","312797000","BLZ","fishing","tuna_purse_seines","CIV","ABIDJAN",2024-07-27 15:12:35,4,2024-08-25 05:55:22,4,28.6,"ABIDJAN",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,1,2.6,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b5d3439b6-6d19-5385-9d6b-08a0dfd60fa7?&start=2024-07-25&end=2024-08-27"")"
"F/V CAP BOJADOR","228280000","FRA","fishing","tuna_purse_seines","CIV","ABIDJAN",2024-08-07 08:44:33,4,2024-08-29 06:50:00,4,21.9,"ABIDJAN",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,8.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cc9dd42b8-8263-d5f5-d479-8027efd525be?&start=2024-08-05&end=2024-08-31"")"
"MONTERAIOLA","224742000","ESP","fishing","tuna_purse_seines","CIV","ABIDJAN",2024-08-26 08:05:55,4,2024-09-27 05:47:52,3,31.9,"ABIDJAN",NA,TRUE,19.1819444444444,"CIV",FALSE,"ICCAT, IWC, ACAP, FCWC, NAMMCO",TRUE,1,TRUE,1,1.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c44bf0cee-e97e-f9c4-3c32-97d90554b144?&start=2024-08-24&end=2024-09-29"")"
"GARBOLA","225461000","ESP","support","purse_seine_support","SEN","DAKAR",2024-05-21 12:33:01,4,2024-07-14 07:07:25,4,53.8,"ABIDJAN",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cf930809d-da1e-0f57-d725-bee6826624ab?&start=2024-05-19&end=2024-07-16"")"
"F/V GUERIDEN","227550000","FRA","fishing","tuna_purse_seines","CIV","ABIDJAN",2024-06-06 07:58:39,4,2024-07-29 06:15:35,4,52.9,"ABIDJAN",NA,TRUE,630.850555555556,"GHA, GAB, CIV",FALSE,"NAMMCO, ACAP, ICCAT, FCWC, COREP, IWC",TRUE,2,TRUE,26,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1fe43f651-11a3-402d-dfed-efde848e7eee?&start=2024-06-04&end=2024-07-31"")"
"ATLANTIC PRINCE","312867000","BLZ","fishing","tuna_purse_seines","CIV","ABIDJAN",2024-09-03 16:38:14,4,2024-09-21 10:44:14,4,17.8,"ABIDJAN",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,8.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a8fa13d03-3876-ae64-a357-4823082c2984?&start=2024-09-01&end=2024-09-23"")"
"HAO YUAN YU 861","412483274","CHN","fishing","inconclusive","CIV","ABIDJAN",2024-07-17 10:40:30,4,2024-07-18 06:45:01,4,0.8,"ABIDJAN",TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,9.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2186e505a-a159-78d6-2d2c-f111f0e811a1?&start=2024-07-15&end=2024-07-20"")"
"HAO YUAN YU 861","412483274","CHN","fishing","inconclusive","CIV","ABIDJAN",2024-07-31 07:51:33,4,2024-08-01 06:29:49,4,0.9,"ABIDJAN",TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,12.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2186e505a-a159-78d6-2d2c-f111f0e811a1?&start=2024-07-29&end=2024-08-03"")"
"F/V CAP BOJADOR","228280000","FRA","fishing","tuna_purse_seines","CIV","ABIDJAN",2024-06-17 09:06:52,4,2024-07-30 07:29:06,4,42.9,"ABIDJAN",NA,TRUE,487.305,"GAB, CIV",TRUE,"COREP, IWC, ICCAT, NAMMCO, ACAP, FCWC",TRUE,2,TRUE,20,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cc9dd42b8-8263-d5f5-d479-8027efd525be?&start=2024-06-15&end=2024-08-01"")"
"HAO YUAN YU 861","412483274","CHN","fishing","inconclusive","CIV","ABIDJAN",2024-07-10 08:44:55,4,2024-07-11 06:44:08,4,0.9,"ABIDJAN",TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,8.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2186e505a-a159-78d6-2d2c-f111f0e811a1?&start=2024-07-08&end=2024-07-13"")"
"HAO YUAN YU 861","412483274","CHN","fishing","inconclusive","CIV","ABIDJAN",2024-07-26 09:57:03,4,2024-07-27 06:30:33,4,0.8,"ABIDJAN",TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,9.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2186e505a-a159-78d6-2d2c-f111f0e811a1?&start=2024-07-24&end=2024-07-29"")"
"VOLTA GLORY","627047000","GHA","carrier","carrier","CIV","ABIDJAN",2024-07-05 18:10:25,4,2024-07-17 06:25:18,4,11.5,"ABIDJAN",NA,FALSE,NA,NA,FALSE,NA,TRUE,4,TRUE,6,98.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/321c72ecf-fb14-deda-49a2-2451e9e35a47?&start=2024-07-03&end=2024-07-19"")"
"ATLANTIC PRINCE","312867000","BLZ","fishing","tuna_purse_seines","GHA","TEMA",2024-08-10 14:21:46,4,2024-09-01 02:25:53,4,21.5,"ABIDJAN",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,6.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a8fa13d03-3876-ae64-a357-4823082c2984?&start=2024-08-08&end=2024-09-03"")"
