s2id,iso3,label,sublabel,lat,lon,dock,distance_from_shore_m
0fdf878b,GHA,TEMA,TEMA OFFSHORE,5.58556407268548,-0.0018780942202244748,false,
0fdf877d,GHA,TEMA,TEMA,5.611992278080268,-0.0028365467680354891,false,
0fdf87f5,GHA,TEMA,TEMA OFFSHORE,5.5802154141673412,-0.0023723705195875847,false,
0fdf87ff,GHA,TEMA,TEMA OFFSHORE,5.5645889158005337,-0.0024456646455167722,false,
0fdf87f9,GHA,TEMA,TEMA OFFSHORE,5.5693841907180328,-0.0021532481988224671,false,
0fdf881f,GHA,TEMA,TEMA OFFSHORE,5.5437034137469352,-0.0021034347701917454,false,
0fdf8803,GHA,TEMA,TEMA OFFSHORE,5.5542187960968645,-0.0023028617948144055,false,
0fdf8787,GHA,TEMA,TEMA OFFSHORE,5.5961301168540256,-0.0024371131592816294,false,
0fdf8789,GHA,TEMA,TEMA OFFSHORE,5.5898418128847256,-0.0018817793288490496,false,
0fdf8781,GHA,TEMA,TEMA OFFSHORE,5.6009066627807167,-0.0022942641227628765,false,
0fdf8801,GHA,TEMA,TEMA OFFSHORE,5.5594803411215139,-0.0025471391714469373,false,
0fdf87f7,GHA,TEMA,TEMA OFFSHORE,5.575772651438986,-0.0026317141402336232,false,
102078b1,GHA,TEMA,TEMA,5.6355699672194159,0.0115700874536925,true,0.0
0fe77b11,GHA,SEKONDI-TAKORADI,SEKONDI,4.94546547771767,-1.7024971775144178,true,1000.0
0fe77b1d,GHA,SEKONDI-TAKORADI,SEKONDI,4.9356878177221351,-1.7041078442093067,true,1000.0
0fe77b17,GHA,SEKONDI-TAKORADI,SEKONDI,4.9446967433933127,-1.6984567449539905,false,1000.0
0fe77b19,GHA,SEKONDI-TAKORADI,SEKONDI,4.9397133311169332,-1.6989835274326524,true,1000.0
0fe77a0b,GHA,SEKONDI-TAKORADI,TAKORADI,4.8956271584240172,-1.7381198749177846,false,1000.0
0fe770a9,GHA,SEKONDI-TAKORADI,TAKORADI,4.8873076590323734,-1.7448702376965579,true,1000.0
0fe77b1b,GHA,SEKONDI-TAKORADI,SEKONDI,4.9399745330546416,-1.7021020609559863,true,1000.0
0fe770a7,GHA,SEKONDI-TAKORADI,TAKORADI,4.8865370247790638,-1.7412080828593446,true,1000.0
0fe77b05,GHA,SEKONDI-TAKORADI,SEKONDI,4.9416304621511618,-1.7077210099060187,true,1000.0
0fe770a1,GHA,SEKONDI-TAKORADI,SEKONDI-TAKORADI,4.887056828495413,-1.7383436245446402,true,1000.0
0fe77a09,GHA,SEKONDI-TAKORADI,TAKORADI,4.8946345241691542,-1.7412553526845103,true,1000.0
0fe770a3,GHA,SEKONDI-TAKORADI,TAKORADI,4.8852611624341309,-1.7369555050241452,true,1000.0
102078bb,GHA,TEMA,TEMA,5.6323314372193618,0.011516777033135661,true,1000.0
102078a5,GHA,TEMA,TEMA,5.6302149245850375,0.0091910984347650087,true,1000.0
102078a3,GHA,TEMA,TEMA,5.6272864223873293,0.0075194562243772753,true,1000.0
102078bd,GHA,TEMA,TEMA,5.6264565189500741,0.010123942961006,true,1000.0
0fe77a5f,GHA,SEKONDI-TAKORADI,SEKONDI-TAKORADI OFFSHORE,4.9142869005867915,-1.7174035877460339,false,2000.0
0fe77a5d,GHA,SEKONDI-TAKORADI,SEKONDI-TAKORADI OFFSHORE,4.91447612912258,-1.7221693509515958,false,2000.0
0fe77a67,GHA,SEKONDI-TAKORADI,SEKONDI-TAKORADI OFFSHORE,4.9095850044233025,-1.721682277501273,false,2000.0
0fe770a5,GHA,SEKONDI-TAKORADI,TAKORADI,4.8843889606804805,-1.741127199332082,true,2000.0
0fe77a61,GHA,SEKONDI-TAKORADI,SEKONDI-TAKORADI OFFSHORE,4.9096422416549261,-1.7173200645005386,false,2000.0
0fe770af,GHA,SEKONDI-TAKORADI,TAKORADI,4.8828744295092195,-1.7449739063285046,true,2000.0
0fe77a65,GHA,SEKONDI-TAKORADI,SEKONDI-TAKORADI OFFSHORE,4.9050486101585111,-1.721655945896978,false,2000.0
0fe77b3d,GHA,SEKONDI-TAKORADI,SEKONDI,4.9456132635973464,-1.6931942255558263,false,2000.0
10207881,GHA,TEMA,TEMA OFFSHORE,5.6066683165340727,0.0022491373154642329,false,2000.0
10207893,GHA,TEMA,TEMA OFFSHORE,5.6167559157474312,0.01652677434475705,false,2000.0
1020788f,GHA,TEMA,TEMA OFFSHORE,5.6113287779032364,0.011841104540819878,false,2000.0
102078b7,GHA,TEMA,TEMA,5.6380065974877649,0.016194294100842374,true,2000.0
0fdf8771,GHA,TEMA,TEMA,5.61098550068784,-0.011426018909406884,false,2000.0
102078bf,GHA,TEMA,TEMA,5.62984034842101,0.016849789854902267,true,2000.0
102078eb,GHA,TEMA,TEMA OFFSHORE,5.6211852717542534,0.021226969312965388,false,2000.0
10207885,GHA,TEMA,TEMA OFFSHORE,5.6115561583758842,0.007268452302686473,false,2000.0
10207895,GHA,TEMA,TEMA OFFSHORE,5.6207173349408048,0.017684965963149304,false,2000.0
10207899,GHA,TEMA,TEMA,5.6244972301601051,0.0078117762059146216,true,2000.0
10207891,GHA,TEMA,TEMA OFFSHORE,5.6159519121962891,0.012496560940554853,false,2000.0
102078c7,GHA,TEMA,TEMA,5.6333421987305172,0.0189738151195028,true,2000.0
10207887,GHA,TEMA,TEMA OFFSHORE,5.6062575858466142,0.0072000579974465014,false,2000.0
