s2id,iso3,label,sublabel,lat,lon,PSMA Use,Use
1069c959,NGA,RIVERS COMPLEX,PORT HARCOURT,4.762069923,7.004529117,YES,Handels all vessel classes. High reefer traffic
1069c957,NGA,RIVERS COMPLEX,PORT HARCOURT,4.764920145,7.006510738,YES,Handels all vessel classes. High reefer traffic
1069cbfd,NGA,RIVERS COMPLEX,PORT HARCOURT,4.767280589,7.008268278,YES,Handels all vessel classes. High reefer traffic
1069c955,NGA,RIVERS COMPLEX,PORT HARCOURT,4.774188138,7.003442965,YES,Handels all vessel classes. High reefer traffic
1069cbff,NGA,RIVERS COMPLEX,PORT HARCOURT,4.771766487,7.009175821,YES,Handels all vessel classes. High reefer traffic
103b8a29,NGA,LAGOS,TIN CAN ALLEY FIVE STAR TERMINAL,6.429450205,3.341035852,YES,Container terminal. May be used by reefers to containerise 
103b8a31,NGA,LAGOS,TIN CAN ALLEY TERMINAL,6.432200004,3.351623244,YES,Container terminal. May be used by reefers to containerise 
103b8ae3,NGA,LAGOS,APAPA RAIL BARGE JETTY,6.434577177,3.392696086,YES,Container terminal. May be used by reefers to containerise 
103b8a37,NGA,LAGOS,TIN CAN ALLEY TERMINAL,6.431795187,3.356026629,YES,Container terminal. May be used by reefers to containerise 
103b8a2f,NGA,LAGOS,TIN CAN ALLEY SIFAX PORT,6.431219311,3.347021563,YES,Container terminal. May be used by reefers to containerise 
103b8afd,NGA,LAGOS,APAPA MULLER JETTY ,6.436135343,3.387016974,YES,Container terminal. May be used by reefers to containerise 
103b8a27,NGA,LAGOS,NIGERDOCK,6.426708345,3.340796061,YES,"Docking area, used by many vessel types"
103b8989,NGA,LAGOS,NIGERDOCK,6.426928019,3.338205915,YES,"Docking area, used by many vessel types"
103b8b07,NGA,LAGOS,APAPA BULK TERMINAL,6.44498581,3.380382594,YES,"General cargo area, highest reefer usage "
103b8ba9,NGA,LAGOS,APAPA BULK TERMINAL,6.447755591,3.37589008,YES,"General cargo area, highest reefer usage "
103b8b01,NGA,LAGOS,APAPA BULK TERMINAL,6.443778393,3.382700167,YES,"General cargo area, highest reefer usage "
103b8b03,NGA,LAGOS,APAPA BULK TERMINAL,6.442071977,3.386829237,YES,"General cargo area, highest reefer usage "
103b8b1d,NGA,LAGOS,APAPA BULK TERMINAL,6.440184938,3.391619389,YES,"General cargo area, highest reefer usage "
103b8a49,NGA,LAGOS,NIGERIAN FLOUR MILL,6.431654422,3.360397367,YES,"General cargo area, may be used by reefers"
103b8aff,NGA,LAGOS,APAPA SUGAR REFINERY,6.437218919,3.381654259,YES,Occasional reefer visits
