"vessel_name","MMSI","Flag","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","at_dock","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","percent_ais_voyage","vv_url"
"F/V CHESSA-888","548960200","PHL","carrier","carrier","PNG","LAE",2024-10-15 08:58:29,4,2024-10-26 06:17:56,4,10.9,"GENERAL SANTOS",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,2,98.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/8e772b51d-d0d7-bc8f-253e-d68814ae91ac?&start=2024-10-13&end=2024-10-28"")"
"MARIA ERLINDA","548003100","PHL","carrier","carrier","PNG","RABAUL",2024-10-25 07:24:20,4,2024-11-02 22:34:06,4,8.6,"GENERAL SANTOS",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,84.6,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/56057884c-c3ba-96fa-c903-7f050217e4c3?&start=2024-10-23&end=2024-11-04"")"
"FRANCESCA L.T","548056500","PHL","carrier","carrier","PNG","WEWAK",2024-11-15 06:04:12,4,2024-11-21 00:24:16,4,5.8,"GENERAL SANTOS",NA,FALSE,NA,NA,FALSE,NA,TRUE,1,TRUE,1,99.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3cd3dd3ea-a5bd-53d8-2cd7-5ae8022b67cd?&start=2024-11-13&end=2024-11-23"")"
"MARIA ERLINDA","548003100","PHL","carrier","carrier","PNG","RABAUL",2024-11-22 09:32:47,4,2024-11-30 22:52:34,3,8.5,"GENERAL SANTOS",NA,FALSE,NA,NA,FALSE,NA,TRUE,1,TRUE,2,82.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/56057884c-c3ba-96fa-c903-7f050217e4c3?&start=2024-11-20&end=2024-12-02"")"
"SEA FUTURE","352980811","PAN","other","other","PNG","RABAUL",2024-10-08 05:35:02,4,2024-10-16 02:14:41,4,7.8,"GENERAL SANTOS",NA,FALSE,NA,NA,FALSE,NA,TRUE,1,TRUE,2,97.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f1fad0360-01cd-3412-581c-b1bd21316c29?&start=2024-10-06&end=2024-10-18"")"
"BOYANG CAPELLA","351373000","PAN","carrier","carrier","PNG","RABAUL",2024-11-22 07:00:06,4,2024-11-27 06:34:34,4,5,"GENERAL SANTOS",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,93.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/5d62567c6-6e74-a945-809d-bf3c9bae69aa?&start=2024-11-20&end=2024-11-29"")"
"FENG XIANG 818","412439604","CHN","fishing","tuna_purse_seines","KIR","TARAWA",2024-10-01 06:13:05,4,2024-10-10 21:50:51,4,9.6,"GENERAL SANTOS",NA,TRUE,6.41666666666667,"KIR",FALSE,"SPC, IWC, FFA, ACAP, WCPFC",TRUE,1,TRUE,1,97,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e7d8bfe49-9c1f-f0dd-6928-51ab11257595?&start=2024-09-29&end=2024-10-12"")"
"FONG KUO NO:189","416243700","TWN","fishing","tuna_purse_seines","PHL","SUBIC",2024-10-21 08:24:32,4,2024-10-24 02:50:40,4,2.8,"GENERAL SANTOS",NA,TRUE,2.20138888888889,"PHL",FALSE,"APFIC, SEAFDEC, WCPFC, ACAP, IWC",FALSE,NA,FALSE,NA,97,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/be4ab64ce-e3eb-2dda-5a2f-7ad5fce161db?&start=2024-10-19&end=2024-10-26"")"
"GUOSHUN 21","312403000","BLZ","other","other","PHL","VILLANUEVA",2024-10-06 01:30:28,4,2024-10-07 18:29:22,4,1.7,"GENERAL SANTOS",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,40.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/53ecfd1fd-d01a-7bc7-f7c0-dfc057c5a8d7?&start=2024-10-04&end=2024-10-09"")"
"SEIN FRONTIER","441723000","KOR","carrier","carrier","PNG","RABAUL",2024-10-18 04:03:27,4,2024-10-24 01:49:01,4,5.9,"GENERAL SANTOS",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,99.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/5e2030392-2c27-0ba9-9da5-fb5cb7879401?&start=2024-10-16&end=2024-10-26"")"
"SEIN PHOENIX","441618000","KOR","carrier","carrier","THA","LAEM CHABANG",2024-10-01 06:38:47,4,2024-10-06 04:32:27,4,4.9,"GENERAL SANTOS",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,95.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1f10e42bc-cfbb-bc86-4003-123e36952736?&start=2024-09-29&end=2024-10-08"")"
"TUNA QUEEN","352894000","PAN","carrier","carrier","SLB","HONIARA",2024-11-19 02:26:52,4,2024-11-26 22:28:01,4,7.8,"GENERAL SANTOS",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,77.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1512ca283-37b5-2737-87b9-047cf0f30433?&start=2024-11-17&end=2024-11-28"")"
