"vessel_name","MMSI","Flag","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","at_dock","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","percent_ais_voyage","vv_url"
"YUEYANGXIYU21283","412472916","CHN","fishing","set_gillnets","PHL","MANILA",2024-10-29 23:53:14,4,2024-11-04 08:11:34,4,5.3,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/145129990-0d28-9333-a5a4-b69ee4db18f8?&start=2024-10-27&end=2024-11-06"")"
"XIANGHANG555","312328000","BLZ","fishing","inconclusive","PHL","MANILA",2024-10-10 11:40:58,4,2024-10-13 10:25:35,4,2.9,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,91.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/35361d9f5-5331-1055-674f-4aa2c39ee00d?&start=2024-10-08&end=2024-10-15"")"
"YUEYANGXIYU21283","412472916","CHN","fishing","set_gillnets","PHL","MANILA",2024-09-01 08:11:22,4,2024-12-31 11:39:18,4,121.1,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a4bb4e81c-c9d5-78e3-5d48-c02cc6c40610?&start=2024-08-30&end=2025-01-02"")"
"HENG DA 99","667001661","SLE","cargo","cargo","PHL","MANILA",2024-10-10 22:36:55,4,2024-10-13 06:18:28,4,2.3,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3e729723f-ff3c-ff9f-e951-7c583e79a8a4?&start=2024-10-08&end=2024-10-15"")"
"HENG DA 99","667001661","SLE","cargo","cargo","PHL","MANILA",2024-10-18 12:23:00,4,2024-10-20 15:13:34,4,2.1,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3e729723f-ff3c-ff9f-e951-7c583e79a8a4?&start=2024-10-16&end=2024-10-22"")"
"XIANGHANG555","312328000","BLZ","fishing","inconclusive","PHL","MANILA",2024-10-31 15:48:10,4,2024-11-01 22:34:18,4,1.3,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/35361d9f5-5331-1055-674f-4aa2c39ee00d?&start=2024-10-29&end=2024-11-03"")"
"YUEYANGXIYU21283","412472916","CHN","fishing","set_gillnets","CHN","GUISHAN",2024-10-27 07:27:29,4,2024-10-29 05:22:49,4,1.9,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,4.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/145129990-0d28-9333-a5a4-b69ee4db18f8?&start=2024-10-25&end=2024-10-31"")"
"HENG DA988","667001590","SLE","fishing","inconclusive","PHL","MANILA",2024-10-18 14:37:00,4,2024-10-20 17:05:41,4,2.1,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ff9193f93-31f7-d71d-b83f-79a2fab04561?&start=2024-10-16&end=2024-10-22"")"
"HENG DA988","667001590","SLE","fishing","inconclusive","PHL","MANILA",2024-11-09 01:34:51,4,2024-11-11 10:51:10,4,2.4,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,91.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ff9193f93-31f7-d71d-b83f-79a2fab04561?&start=2024-11-07&end=2024-11-13"")"
"HENG DA 99","667001661","SLE","cargo","cargo","PHL","MANILA",2024-11-23 11:22:59,4,2024-11-27 03:41:51,4,3.7,"MANILA",NA,FALSE,NA,NA,FALSE,NA,TRUE,1,FALSE,NA,97.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3e729723f-ff3c-ff9f-e951-7c583e79a8a4?&start=2024-11-21&end=2024-11-29"")"
