trip_id,event_id,event_type,year,vessel_id,ssvid,shipname,vessel_flag_best,callsign,imo,vessel_class_best,geartype_best,vessel_class_initial,class_confidence,trip_start,start_port_iso3,start_port_label,trip_end,end_port_iso3,end_port_label,port_anchorage_id,total_voyage_days,total_voyage_h,total_ais_h,percent_ais_voyage,event_start,event_end,event_duration_d,lat_mean,lon_mean,lat_end,lon_end,distance_km,speed_knots,eez,major_fao,high_seas,rfmo,start_distance_from_shore_km,end_distance_from_shore_km,start_distance_from_port_km,end_distance_from_port_km,positions_12_hours_before,encountered_ssvid,encountered_vessel_id,encountered_shipname,encountered_callsign,encountered_imo,encountered_flag,encountered_vessel_class,encountered_geartype,port_event_type,port_event_timestamp,port_event_lat,port_event_lon,port_label,sublabel,port_event_anchorage_id,port_distance_from_shore_m,at_dock,port_confidence,possible_spoofing
st6PWc3Kqp,e7522ea406104ced5a6267299f3560cc,Gap,2021,f30e209ee-e2df-4bba-a367-930c27b4731f,440222000,LAKE CASTLE,KOR,D7NB,9004657,carrier,carrier,,NA,04/10/2021 04:34,PNG,RABAUL,09/10/2021 22:59,PHL,GENERAL SANTOS,32f7a147,5.8,139,66,47.5,07/10/2021 15:45,07/10/2021 23:55,0.3,NA,NA,1.92,133.2,203.9,13.5,IDN,NA,NA,"ACAP, APFIC, IWC, SEAFDEC, WCPFC",197,234,265.8,324.6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
st6PWc3Kqp,c911d62a0bd4c605b530677bec323a08,Gap,2021,f30e209ee-e2df-4bba-a367-930c27b4731f,440222000,LAKE CASTLE,KOR,D7NB,9004657,carrier,carrier,,NA,04/10/2021 04:34,PNG,RABAUL,09/10/2021 22:59,PHL,GENERAL SANTOS,32f7a147,5.8,139,66,47.5,08/10/2021 04:05,24/11/2021 02:55,47,NA,NA,6.33,123.23,1107.3,0.5,PLW,NA,NA,"ACAP, FFA, IWC, SPC, WCPFC",171,89,338.2,139.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
st6PWc3Kqp,7838d9e303bf2563edcdbf827e0f1279,Port_Visit,2021,f30e209ee-e2df-4bba-a367-930c27b4731f,440222000,LAKE CASTLE,KOR,D7NB,9004657,carrier,carrier,,NA,04/10/2021 04:34,PNG,RABAUL,09/10/2021 22:59,PHL,GENERAL SANTOS,32f7a147,5.8,139,66,47.5,09/10/2021 22:59,02/11/2021 16:33,23.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1GH05XQgIr,3bbf1e2e914863bba2b108930516d5e3,Gap,2022,8b035f032-2dc1-3eb1-af59-930e5d8a01ab,510100000,FULL FORTUNE 101,FSM,V6PFF10,8748505,fishing,tuna_purse_seines,,NA,03/02/2022 01:39,MHL,MAJURO,19/02/2022 04:16,PHL,GENERAL SANTOS,32f7a149,16.1,388,74,19.1,03/02/2022 06:05,13/02/2022 07:46,10.1,NA,NA,0.09,148.91,2532.8,5.7,MHL,NA,NA,"ACAP, FFA, IWC, SPC, WCPFC",61,171,78.7,326.9,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1GH05XQgIr,7d93f8b8f6cc60a1b055dcc1e02c345d,Gap,2022,8b035f032-2dc1-3eb1-af59-930e5d8a01ab,510100000,FULL FORTUNE 101,FSM,V6PFF10,8748505,fishing,tuna_purse_seines,,NA,03/02/2022 01:39,MHL,MAJURO,19/02/2022 04:16,PHL,GENERAL SANTOS,32f7a149,16.1,388,74,19.1,16/02/2022 19:48,17/02/2022 04:01,0.3,NA,NA,6.1,131.35,159.2,10.5,PLW,NA,NA,"ACAP, FFA, IWC, SPC, WCPFC",67,128,264.9,367.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1GH05XQgIr,f6cd550f6fa44c11f235935300fcaf67,Gap,2022,8b035f032-2dc1-3eb1-af59-930e5d8a01ab,510100000,FULL FORTUNE 101,FSM,V6PFF10,8748505,fishing,tuna_purse_seines,,NA,03/02/2022 01:39,MHL,MAJURO,19/02/2022 04:16,PHL,GENERAL SANTOS,32f7a149,16.1,388,74,19.1,17/02/2022 05:02,17/02/2022 16:01,0.5,NA,NA,6.65,129.36,208.7,10.3,PLW,NA,NA,"ACAP, FFA, IWC, SPC, WCPFC",146,313,383.1,398.6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1GH05XQgIr,6d0fe981344427e2dbbd8a6560694322,Gap,2022,8b035f032-2dc1-3eb1-af59-930e5d8a01ab,510100000,FULL FORTUNE 101,FSM,V6PFF10,8748505,fishing,tuna_purse_seines,,NA,03/02/2022 01:39,MHL,MAJURO,19/02/2022 04:16,PHL,GENERAL SANTOS,32f7a149,16.1,388,74,19.1,17/02/2022 17:24,18/02/2022 00:09,0.3,NA,NA,6.53,127.92,136,10.9,PHL,NA,NA,"ACAP, APFIC, IWC, SEAFDEC, WCPFC",290,168,375.3,249.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1GH05XQgIr,2b293836a888fad1951ba3510b42464a,Gap,2022,8b035f032-2dc1-3eb1-af59-930e5d8a01ab,510100000,FULL FORTUNE 101,FSM,V6PFF10,8748505,fishing,tuna_purse_seines,,NA,03/02/2022 01:39,MHL,MAJURO,19/02/2022 04:16,PHL,GENERAL SANTOS,32f7a149,16.1,388,74,19.1,18/02/2022 00:09,18/02/2022 22:12,0.9,NA,NA,5.86,125.15,314.5,7.7,PHL,NA,NA,"ACAP, APFIC, IWC, SEAFDEC, WCPFC",168,4,249.5,7.7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1GH05XQgIr,2d2f74f78f0fed86b5c9fc56731bb99e,Gap,2022,8b035f032-2dc1-3eb1-af59-930e5d8a01ab,510100000,FULL FORTUNE 101,FSM,V6PFF10,8748505,fishing,tuna_purse_seines,,NA,03/02/2022 01:39,MHL,MAJURO,19/02/2022 04:16,PHL,GENERAL SANTOS,32f7a149,16.1,388,74,19.1,18/02/2022 22:13,19/02/2022 04:16,0.3,NA,NA,6.03,125.15,18.7,1.7,PHL,NA,NA,"ACAP, APFIC, IWC, SEAFDEC, WCPFC",4,2,7.7,1.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
piGKJJh3yQ,7c518653f3ff2bc5226d4ed656b2a62e,Fishing,2022,d4646381b-b7a8-0d78-574a-0ba5f3c60cfc,544117120,MARITA 88,NRU,C2AS2,9720354,fishing,tuna_purse_seines,,NA,18/02/2022 04:50,PNG,RABAUL,24/03/2022 06:07,PHL,GENERAL SANTOS,32f7a149,34,819,675,82.4,19/02/2022 04:14,19/02/2022 05:36,0.1,-3.76,155.64,NA,NA,1.7,0.6,PNG,71,,"ACAP, FFA, IWC, SPC, WCPFC",105,106,213.1,214.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
