s2id,iso3,label,sublabel,lat,lon,dock,distance_from_shore_m
1023e145,TGO,LOME,LOME,6.1365,1.2768,TRUE,0
1023e14f,TGO,LOME,LOME,6.1387,1.2822,TRUE,0
1023e151,TGO,LOME,LOME,6.1416,1.2828,TRUE,0
1023e153,TGO,LOME,LOME,6.1426,1.2866,TRUE,1000
1023e6ad,TGO,LOME,LOME,6.1432,1.2895,TRUE,1000
1023e14d,TGO,LOME,LOME,6.1387,1.2862,TRUE,1000
1023e6b3,TGO,LOME,LOME,6.1394,1.2896,TRUE,1000
1023ed2d,TGO,KPEME,KPEME,6.1993,1.5176,TRUE,2000
10215f89,TGO,LOME,LOME,6.0955,1.2098,FALSE,2000
1023e03b,TGO,LOME,LOME,6.0955,1.2238,FALSE,2000
1023e025,TGO,LOME,LOME,6.0954,1.2192,FALSE,2000
1023e0ef,TGO,LOME,LOME,6.0954,1.2626,FALSE,4000
1023e0e7,TGO,LOME,LOME,6.1011,1.2672,FALSE,4000
1023e0d7,TGO,LOME,LOME,6.1062,1.2821,FALSE,4000
1023e05d,TGO,LOME,LOME,6.0901,1.2434,FALSE,4000
1023e041,TGO,LOME,LOME,6.0904,1.2336,FALSE,4000
1023e12b,TGO,LOME,LOME,6.1112,1.2867,FALSE,4000
1023e08b,TGO,LOME,LOME,6.0853,1.2527,FALSE,4000
1023e0e9,TGO,LOME,LOME,6.0952,1.2674,FALSE,4000
1023e0dd,TGO,LOME,LOME,6.1004,1.2719,FALSE,4000
1023e0e5,TGO,LOME,LOME,6.1008,1.2629,FALSE,4000
1023e06b,TGO,LOME,LOME,6.0851,1.2336,FALSE,4000
1023e061,TGO,LOME,LOME,6.0853,1.2484,FALSE,4000
1023e0d5,TGO,LOME,LOME,6.1062,1.2868,FALSE,4000
1023e011,TGO,LOME,LOME,6.0798,1.2243,FALSE,4000
1023e01d,TGO,LOME,LOME,6.0798,1.2146,FALSE,4000
1023e043,TGO,LOME,LOME,6.0903,1.2386,FALSE,4000
1023e0d9,TGO,LOME,LOME,6.1061,1.2775,FALSE,4000
