Date added,ssvid,CurrentName,Imo,CurrentFlag,CurrentIrcs,VesselType,GearType
Original port profile list,209176000,FRIO ARKHANGELSK; FRIOARKHANGELSK,8860444,RUS,UBWS4,Carrier vessel,NA
Original port profile list,210631000,FRIO FORWIN; FRIOFORWIN,9076260,CYP,5BWC3,Carrier vessel,NA
Original port profile list,212373000,FRIO V,8216722,CMR,TJMC141,Carrier vessel,NA
Original port profile list,212782000,FRIO NEREUS,9076258,CYP,5BVT4,Carrier vessel,NA
Original port profile list,212857000,BELBEK,9140970,CYP,P3MG8,Carrier vessel,NA
Original port profile list,214182704,SOLARTE,8210285,MDA,ER2704,Carrier vessel,NA
Original port profile list,214182713,VERACRUZ,7508300,MDA,ER2713,Carrier vessel,NA
Original port profile list,214182714,FRIO SEVEN,8215936,MDA,ER2714,Carrier vessel,NA
Original port profile list,214182723,SALY REEFER; SALYREEFER,7813925,MDA,ER2723,Carrier vessel,NA
Original port profile list,214182732,GABU REEFER; GABUREEFER,8300949,MDA,ER2732,Carrier vessel,NA
Original port profile list,214182733,SILVER ICE,7819759,MDA,ER2733,Carrier vessel,NA
Original port profile list,224100140,VAPORICO A HIDALGO,,ESP,EA8573,Fishing vessel,Purse seine
Original port profile list,224124000,SALICA FRIGO; SALICAFRIGO,9238703,ESP,EBTL,Carrier vessel,NA
Original port profile list,224224000,AGURTZA BERRIA; AGURTZABERRIA,8733445,CUW,PJBL,Support vessel,NA
Original port profile list,224303000,ZAHARA; ZAHARATRES,9292735,PAN,3EZF8,Support vessel,NA
Original port profile list,224405000,PLAYA DE BAKIO,9010345,ESP,EGWJ,Fishing vessel,Purse seine
Original port profile list,224431000,KURTZIO,7385461,ESP,EAUN,Fishing vessel,Purse seine
Original port profile list,224449000,ARTIKE,9808120,CPV,D4HM,Support vessel,NA
Original port profile list,224531000,PLAYA DE NOJA; PLAYADENOJA,8806955,ESP,,Fishing vessel,Purse seine
Original port profile list,224580000,EGALUZE,8109620,ESP,EFHD,Fishing vessel,Purse seine
Original port profile list,224587000,ZUBEROA,8906456,ESP,EGVV,Fishing vessel,Purse seine
Original port profile list,224709000,MONTEMAOIR; MONTEMOIOR,7817323,ESP,EHTT,Fishing vessel,Purse seine
Original port profile list,224727000,ALBACORA QUINCE,8206296,ESP,EDUS,Fishing vessel,Purse seine
Original port profile list,224733000,MAR DE SERGIO,8212075,ESP,EHNB,Fishing vessel,Purse seine
Original port profile list,224745000,ALBONIGA,8613267,ESP,EDKU,Fishing vessel,Purse seine
Original port profile list,225458000,HAIZEA BAT; HAIZEABAT,9717943,ESP,EAKQ,Support vessel,NA
Original port profile list,225459000,PLAYA DE RIS,9684548,ESP,EAKV,Fishing vessel,Purse seine
Original port profile list,225461000,GARBOLA,9747560,ESP,EAEZ,Support vessel,NA
Original port profile list,226180000,STERENN,9225548,FRA,FIYL,Fishing vessel,Purse seine
Original port profile list,227370000,JEAN LOUIS RAPHAEL 2; JEAN LOUIS RAPHAEL II; JLRAPHAEL2; JEAN LIOUS RAPHAEL II,9104847,FRA,FGTX,Fishing vessel,Purse seine
Original port profile list,227549000,GUEOTEC,8912986,FRA,FGPG; EGPG,Fishing vessel,Purse seine
Original port profile list,227550000,GUERIDEN,8912998,FRA,FGQC; FGRC,Fishing vessel,Purse seine
Original port profile list,227835000,AVEL VOR,8908038,FRA,FGPK,Fishing vessel,Purse seine
Original port profile list,228066900,GEVRED,9741097,FRA,FIUO,Fishing vessel,Purse seine
Original port profile list,228071900,PENDRUC,9741102,FRA,FIXF,Fishing vessel,Purse seine
Original port profile list,228128000,VIA AVENIR; VIAAVENIR,8812186,FRA,FGPJ; EGPJ,Fishing vessel,Purse seine
Original port profile list,228167000,VIA MISTRAL; VIAMISTRAL,9017850,FRA,FGRY,Fishing vessel,Purse seine
Original port profile list,228168000,VIA EUROS; VIAEUROS,9017862,FRA,FGRS,Fishing vessel,Purse seine
Original port profile list,228280000,CAP BOJADOR; CAPBOJADOR; CAP BOIADOR,8908026,FRA,FGPI,Fishing vessel,Purse seine
Original port profile list,231257000,AURORA,8819275,FRO,V4XU2; OZ2162,Carrier vessel,NA
Original port profile list,231792000,AURIGA,8920983,LTU,LYBT,Carrier vessel,NA
Original port profile list,235103000,SINCERITY SY70,,GBR,MVEG,Fishing vessel,Trawl
Original port profile list,244542000,SIERRA KING; SIERRAKING,8810786,NLD,PESF,Carrier vessel,NA
Original port profile list,244790145,COOL EXPRESO; COOLEXPRESO,9085479,LBR,D5YZ5,Carrier vessel,NA
Original port profile list,263403770,CIDADE DE PORTIMAO; CIDADEDEPORTIMAO,8748048,CIV,,Fishing vessel,Trawl
Original port profile list,273384970,NOVIY SVET; NOVIYSVET,8509557,RUS,UEOD,Carrier vessel,NA
Original port profile list,273419350,ATLANTIC LADY; ATLANTICLADY,8500630,RUS,UBIQ2,Carrier vessel,NA
Original port profile list,273432340,NOVA ZEELANDIA; NOVAZEELANDIA,8514784,RUS,UBSR2,Carrier vessel,NA
Original port profile list,277312000,ATLANTIC ROSE,8806242,PLW,T8A3212,Carrier vessel,NA
Original port profile list,277327000,LIBRA,9009683,LTU,LYRT,Carrier vessel,NA
Original port profile list,277348000,CAPELLA,9047257,LTU,LYSG,Carrier vessel,NA
Original port profile list,277397000,CASSIOPEA,9047269,LTU,LYTA,Carrier vessel,NA
Original port profile list,277571000,AURIGA,8920983,LTU,LYBT,Carrier vessel,NA
Original port profile list,306012000,ALBACORA SEIS; ALBACORA SEIS; ALBACORA SIEZ; ALBACORA SEIS; ALBACORA SEIS,7403627,CUW,PJGS,Fishing vessel,Purse seine
Original port profile list,306034000,PACIFIC STAR; PACIFICSTAR,8716837,CUW,PJEW,Fishing vessel,Purse seine
Original port profile list,306094000,ALBACORA NEUVE,7403639,CUW,PJXU,Fishing vessel,Purse seine
Original port profile list,306097000,GURIA,9758351,CUW,PJCP; PICP,Fishing vessel,Purse seine
Original port profile list,306106000,LIGHT 1,9171644,CMR,TJMC7,Support vessel,NA
Original port profile list,306117000,SIERRA LAUREL; SIERRALAUREL,9163403,CUW,PJBQ,Carrier vessel,NA
Original port profile list,306118000,AGURTZA BERRIA,8733445,CUW,PJBL,Support vessel,NA
Original port profile list,306120000,PATUDO,9276092,CUW,PJCF,Support vessel,NA
Original port profile list,306124000,ORANGE STRAIT,9795995,CUW,PJDE,Carrier vessel,NA
Original port profile list,306125000,ORANGE STREAM,9795983,CUW,PJDC,Carrier vessel,NA
Original port profile list,306276000,EXPLORER III,9171656,CUW,PJGD,Support vessel,NA
Original port profile list,306497000,NOVA ZEELANDIA; NOVAZEELANDIA,8514784,RUS,UBSR2,Carrier vessel,NA
Original port profile list,306752000,NOVA FLORIDA; NOVAFLORIDA,8813635,CUW,PLUP; PJUP,Carrier vessel,NA
Original port profile list,306783000,GALERNA,7409140,CUW,PJQD,Fishing vessel,Purse seine
Original port profile list,306796000,BREIZ KLIPPER; BREIZKLIPPER,8917211,CUW,PJQV,Carrier vessel,NA
Original port profile list,306862000,COPPENAME,8807636,CUW,PJYM,Carrier vessel,NA
Original port profile list,306872000,AFFINIS,9120217,MUS,3BTU,Carrier vessel,NA
Original port profile list,308095000,SAMSKIP CRYSTAL,9143374,BHS,C6VN5,Carrier vessel,NA
Original port profile list,308228000,GREEN OCEAN; GREENOCEAN,9001916,BHS,C6VY8,Carrier vessel,NA
Original port profile list,308541000,GREEN SELJE; GREENSELJE,8804529,BHS,C6IB5,Carrier vessel,NA
Original port profile list,308868000,GREEN GUATEMALA; GREENGUATEMALA,8912144,BHS,C6WA6,Carrier vessel,NA
Original port profile list,309165000,GREEN KLIPPER; GREENKLIPPER,9001904,BHS,C6VY9,Carrier vessel,NA
Original port profile list,309193000,JORGEN REEFER,9007489,BHS,C6VB9,Carrier vessel,NA
Original port profile list,309281000,GREEN ITALIA; GREENITALIA,9045780,BHS,C6WH9,Carrier vessel,NA
Original port profile list,309361000,GREEN EXPLORER,8922242,BHS,C6VZ4,Carrier vessel,NA
Original port profile list,309689000,GREEN COSTA RICA; GREENCOSTARICA,8912120,BHS,C6WB3,Carrier vessel,NA
Original port profile list,309716000,BALTIC AUTUMN,9014767,BHS,C6VR5,Carrier vessel,NA
Original port profile list,309841000,BALTIC PEARL; BALTICPEARL,9008732,BHS,C6OU9,Carrier vessel,NA
Original port profile list,311000682,SIERRA LARA; SIERRALARA,9120205,BHS,C6DI3,Carrier vessel,NA
Original port profile list,311000709,SIERRA LEYRE; SIERRALEYRE,9135822,BHS,C6DL3,Carrier vessel,NA
Original port profile list,311000712,ORANGE SPIRIT,9795969,BHS,C6DL6,Carrier vessel,NA
Original port profile list,311000713,ORANGE SEA,9795971,BHS,C6DL7,Carrier vessel,NA
Original port profile list,311000788,CROWN TOPAZ,9191498,BHS,C6DU7,Carrier vessel,NA
Original port profile list,311000791,CROWN JADE,9128051,BHS,C6DV2,Carrier vessel,NA
Original port profile list,311000804,WILD PEONY; WILDPEONY,9191474,BHS,C6DW7,Carrier vessel,NA
Original port profile list,311000855,CROWN SAPPHIRE; CROWNSAPPHIRE,9159115,BHS,C6EC4,Carrier vessel,NA
Original port profile list,311000972,BALTIC PERFORMER; BALTICPERFORMER,9016674,BHS,C6EQ6,Carrier vessel,NA
Original port profile list,311001000,BALTIC PATRIOT,9038488,BHS,C6ET9,Carrier vessel,NA
Original port profile list,311004000,GREEN MAVERIC; GREENMAVERIC,9043055,BHS,C6VY2,Carrier vessel,NA
Original port profile list,311009400,GREEN KARMOY; GREENKARMOY; GREEN KARMØY,8804531,BHS,C6XH2,Carrier vessel,NA
Original port profile list,311009500,GREEN BODO; GREEN BODØ,8804555,BHS,C6XH3,Carrier vessel,NA
Original port profile list,311009600,GREEN FREEZER; GREENFREEZER,8819304,BHS,C6XH4,Carrier vessel,NA
Original port profile list,311009700,GREEN CRYSTAL; GREENCRYSTAL,8920995,BHS,C6XH5,Carrier vessel,NA
Original port profile list,311011400,GREEN COOLER; GREENCOOLER,8804543,BHS,C6XJ4,Carrier vessel,NA
Original port profile list,311040500,GREEN EGERSUND; GREENEGERSUND,8804567,BHS,C6YO8,Carrier vessel,NA
Original port profile list,311042400,GREEN MALOY; GREENMALOY; GREEN MÅLØY,8804579,BHS,C6YQ9,Carrier vessel,NA
Original port profile list,311043800,GREEN AUSTEVOLL,8819299,BHS,C6YS6,Carrier vessel,NA
Original port profile list,311289000,GREEN HONDURAS,8912132,BHS,C6WH8,Carrier vessel,NA
Original port profile list,311907000,REGALBAY; REGAL BAY,9053658,BHS,C6UG6,Carrier vessel,NA
Original port profile list,312004000,PRIBOY,8033053,BLZ,,Fishing vessel,Trawl
Original port profile list,312051000,HARMONIA 1,7360318,BLZ,V3UA5,Fishing vessel,Purse seine
Original port profile list,312191000,PLAYA DE AZKORRI,9476111,BLZ,V3ML9,Fishing vessel,Purse seine
Original port profile list,312391000,DICHA UNO,8029026,BLZ,V3GL,Fishing vessel,Purse seine
Original port profile list,312507000,ZILLARI,9095266,BLZ,V3VP8,Support vessel,NA
Original port profile list,312590000,TXORI BERRI,9006033,BLZ,,Fishing vessel,Purse seine
Original port profile list,312599000,RANGIROA,8210259,BLZ,V3ZI6,Carrier vessel,NA
Original port profile list,312756000,AVRA,7809273,BLZ,V3UB4,Fishing vessel,Purse seine
Original port profile list,312797000,PEARL,7360320,BLZ,V3UI4; V3UI14,Fishing vessel,Purse seine
Original port profile list,312864000,ATLANTIC GLORY,8919403,BLZ,V3PB8,Fishing vessel,Purse seine
Original port profile list,312867000,ATLANTIC PRINCE,8919415,BLZ,V3PG8,Fishing vessel,Purse seine
Original port profile list,312955000,TXORI,7622510,BLZ,V3CP3,Support vessel,NA
Original port profile list,325103700,FRIO V,8216722,CMR,TJMC141,Carrier vessel,NA
Original port profile list,325110000,DUBREKA,8028424,DMA,J7AW4,Carrier vessel,NA
Original port profile list,325955000,NOVAYA ZEMLYA; NOVAYAZEMLYA,8514796,DMA,J7AC9,Carrier vessel,NA
Original port profile list,325965000,NEVSKIY,7812036,DMA,J7AE2,Carrier vessel,NA
Original port profile list,325967000,PEARL COAST,8112380,DMA,,Carrier vessel,NA
Original port profile list,325981000,DELTA REEFER; DELTAREEFER,7912408,DMA,J7AG7,Carrier vessel,NA
Original port profile list,332001000,SANT YAGO TRES,8919427,GTM,TGSY3,Fishing vessel,Purse seine
Original port profile list,332154000,SANT YAGO UNO; SANT YAGO UNO,8919439,GTM,TGQU; TGQJ,Fishing vessel,Purse seine
Original port profile list,341009000,FRIO MURMANSK; FRIOMURMANSK,8845717,RUS,UBXR6,Carrier vessel,NA
Original port profile list,341443000,FENG 9,8420751,PLW,T8A3266,Carrier vessel,NA
Original port profile list,341838000,RANGIROA,8210259,BLZ,V3ZI6,Carrier vessel,NA
Original port profile list,341878000,PEARL COAST,8112380,DMA,,Carrier vessel,NA
Original port profile list,351336000,WINDRAY REEFER,9227596,PAN,H3QQ,Carrier vessel,NA
Original port profile list,351373000,BOYANG CAPELLA,9886794,PAN,3FEZ2,Carrier vessel,NA
Original port profile list,351698000,LADY ROSEBUD; LADYROSEBUD,9412749,PAN,3FAF5,Carrier vessel,NA
Original port profile list,352349000,FRIO SHINANO; FRIOSHINANO,9073385,PAN,3FNR3,Carrier vessel,NA
Original port profile list,352351000,AVUNDAREEFER; AVUNDA REEFER,9072824,PAN,3EJD5,Carrier vessel,NA
Original port profile list,352545000,MONTECRUZ,7710276,PAN,3FUH5,Carrier vessel,NA
Original port profile list,352784000,FRIO ANTWERP; FRIOANTWERP,9078282,RUS,UBDV8,Carrier vessel,NA
Original port profile list,3530564,SEINPHOENIX; SEIN PHOENIX,9047271,KOR,D8SP,Carrier vessel,NA
Original port profile list,353154000,CABO DE PALOS,7363700,PAN,HP5179,Support vessel,NA
Original port profile list,353171000,ALBACORA CARIBE; ALBACORACARIBE,8716825,PAN,H9HB,Fishing vessel,Purse seine
Original port profile list,353306000,FRIO CHIKUMA; FRIOCHIKUMA,9184536,PAN,3FWG8,Carrier vessel,NA
Original port profile list,353773000,FRIO AEGEAN,9172703,PAN,3FTB8; 9172703,Carrier vessel,NA
Original port profile list,353919000,ARENE,7928859,PAN,HO2884,Fishing vessel,Purse seine
Original port profile list,353946000,TAGANROGSKIY ZALIV,9152181,PAN,3EYS5,Carrier vessel,NA
Original port profile list,353982000,FRIO ATHENS,8710340,PAN,3FAX7,Carrier vessel,NA
Original port profile list,354747000,GOLFO DE FONSECA,8829440,SLV,YS2020,Support vessel,NA
Original port profile list,354753000,MONTEALBA; MONTE ALBA,8829452,PAN,HO2094,Support vessel,NA
Original port profile list,354851000,YUN DER,9797917,PAN,3FTC7,Carrier vessel,NA
Original port profile list,354871000,FRIO OCEANIC; FRIOOCEANIC,8801814,PAN,3FYF8,Carrier vessel,NA
Original port profile list,354915000,NOR CAPE,9073402,PAN,HOKJ,Carrier vessel,NA
