Date added,ssvid,CurrentName,IMO,CurrentFlag,CurrentIrcs,VesselType,GearType,,,,,,,,,,,,,,,,
Original port profile list,100902469,EVERRICH 636,8714152,CIV,UNKNOWN,Fishing Vessel,Longline,,,,,,,,,,,,,,,,
Original port profile list,209882000,BALTIC JASMINE,9181156,CYP,5BLD5,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,214182704,SOLARTE,8210285,CMR,TJMC784,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,224009000,RIODOMAR CUARTO,9317626,ESP,EAYH,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,224013270,GOBER TERCERO,8733598,ESP,EBWZ,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,224019630,IRIBAR ZULAIKA,9154373,ESP,EANS,Fishing Vessel,Pole and line,,,,,,,,,,,,,,,,
Original port profile list,224026860,ALFONSO RIERA 4,8739932,ESP,EAGP,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,224032270,ALFONSO RIERA SEGUNDO,9175377,ESP,EAQQ,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,224033000,PEIX MAR VEINTICINCO,8733744,ESP,EAXG,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,224068180,GOBER CUARTO,8733574,ESP,ECAE,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,224068340,PORTOMAYOR,8619742,ESP,EFIG,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,224070000,AITA FRAXKU,9212943,ESP,EACD,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,224073650,GAZTELUGAITZ,9200249,ESP,EAKI,Fishing Vessel,Pole and line,,,,,,,,,,,,,,,,
Original port profile list,224079000,FOLIAS,9304863,ESP,EAXS,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,224079440,TXINGUDI,9280237,ESP,ECCF,Fishing Vessel,Pole and line,,,,,,,,,,,,,,,,
Original port profile list,224086000,FUENTE DE MACENLLE,9306615,ESP,ECEK,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,224089000,KERMANTXO,9212955,ESP,EAXI,Fishing Vessel,Pole and line,,,,,,,,,,,,,,,,
Original port profile list,224098930,BERRIZ SAN FRANCISCO,9297450,ESP,EAID,Fishing Vessel,Pole and line,,,,,,,,,,,,,,,,
Original port profile list,224106000,CURBEIRO,9194191,ESP,EACV,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,224124000,SALICA FRIGO,9238703,ESP,EBTL,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,224224000,AGURTZA BERRIA,8733445,BLZ,PJBL,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,224235000,MANUEL NORES,9242015,ESP,EAMC,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,224266000,FUNCHO,9230701,ESP,EAUS,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
