Date added,ssvid,CurrentName,Imo2,CurrentFlag,CurrentIrcs,VesselType,GearType
Original port profile list,101205,ALPHA CHALLENGER,8802545,KEN,5ZZL,Fishing Vessel,Trawler
Original port profile list,224054360,ALAKRANTXU,9156929,ESP,EAON,Fishing Vessel,Purse Seine
Original port profile list,224103000,TXORI ARGI,9286724,ESP,ECEQ,Fishing Vessel,Purse seine
Original port profile list,224218000,TXORI BI,9319789,ESP,ECEE,Fishing Vessel,Trawler
Original port profile list,224469000,ALBACAN,8906468,ESP,EACO,Fishing Vessel,Purse seine
Original port profile list,224594000,TXORI HIRU,9324007,SYC,S7VP,Fishing Vessel,Trawler
Original port profile list,224702000,ALAKRANA,9335745,ESP,ECKG,Fishing Vessel,Purse seine
Original port profile list,224755000,ALBACORA CUATRO,7325904,ESP,EALM,Fishing Vessel,Purse seine
Original port profile list,224774000,ATERPE ALAI,9842011,ESP,EAMT,Fishing Vessel,Purse seine
Original port profile list,225455000,ITSAS TXORI,9702869,ESP,EAHO,Fishing Vessel,Purse seine
Original port profile list,352707000,LUCKY TRADER,9427574,BRB,8PBG3,Carrier vessel,NA
Original port profile list,353475000,BLUE DANANG,UNKNOWN,PAN,HO9829,Fishing Vessel,UNKNOWN
Original port profile list,412333331,LU QING YUAN YU 155,8529454,KEN,5ZAAK,Fishing Vessel,Purse seine
Original port profile list,412333332,LU QING YUAN YU 156,8529478,KEN,5ZAAL,Fishing Vessel,Purse seine
Original port profile list,412333334,LU QING YUAN YU 158,8529492,KEN,5ZAAN,Fishing Vessel,Purse seine
Original port profile list,412333335,LU QING YUAN YU 159,8529507,KEN,5ZAAP,Fishing Vessel,Purse seine
Original port profile list,412333336,LU QING YUAN YU 160,8529519,KEN,5ZAAQ,Fishing Vessel,Purse seine
Original port profile list,440165170,DIAMOND ACE 1,UNKNOWN,KEN,UNKNOWN,Fishing Vessel,Pots and traps
Original port profile list,440543000,RAFIKI NO 1,7355595,KEN,5ZZP,Fishing Vessel,Trawler
Original port profile list,634120000,SHANG JYI,8844608,KEN,5ZZM,Fishing Vessel,Longline
Original port profile list,634127000,SEA MAR II,7902790,KEN,5ZZS,Fishing Vessel,Longline
Original port profile list,634129000,NEWFOUNDLAND ALERT,8712441,KEN,5ZZU,Fishing Vessel,Longline
Original port profile list,634140000,RA-HORAKHTY,8805298,KEN,5ZAAT,Fishing Vessel,Longline
Original port profile list,634143000,LU QING YUAN YU 157,8529480,KEN,5ZAAM,Fishing Vessel,Purse seine
Original port profile list,634145000,LU QING YUAN YU 159,8529507,KEN,5ZAAP,Fishing Vessel,Purse seine
Original port profile list,634152000,OCEAN EAGLE,8714059,KEN,5ZAAX,Fishing Vessel,Longline
Original port profile list,659308000,SEA MAR II,7902790,KEN,5ZZS,Fishing Vessel,Longline
Original port profile list,664074000,NF EXPERT TUNA,9812119,MUS,3B2440,Fishing Vessel,Longline
Original port profile list,664076000,TXORI LAU,9280081,CIV,UNKNOWN,Support vessel,NA
Original port profile list,664089000,NF WOENFULL NO. 168,9794123,SYC,S7OM,Fishing Vessel,Longline
Original port profile list,664223000,INTERTUNA TRES,9202704,SYC,S7SA,Fishing Vessel,Purse seine
Original port profile list,664268000,TXORI AUNDI,8208531,SYC,S7SZ,Fishing Vessel,Purse seine
Original port profile list,664325000,TXORI BAT,9324019,SYC,S7TV,Support vessel,Purse seine
Original port profile list,664326000,TXORI TOKI,9196682,SYC,S7LN,Fishing Vessel,Purse seine
Original port profile list,664348000,DRACO,9335226,SYC,S7TW,Fishing Vessel,Purse seine
Original port profile list,664396000,NF ALPHA GOLD NO. 6,9841926,SYC,S7JQ,Fishing Vessel,Longline
Original port profile list,664563000,IZARO,9684500,SYC,S7OK,Fishing Vessel,Purse seine
Original port profile list,664567000,NF DAFA NO. 8,9769257,SYC,S7JB,Fishing Vessel,Longline
Original port profile list,664576000,GALERNA II,9663154,SYC,S7VH,Fishing Vessel,Purse seine
Original port profile list,664578000,EUSKADI ALAI,9733480,SYC,S7UO,Fishing Vessel,Purse seine
Original port profile list,664579000,JAI ALAI,9733478,SYC,S7UK,Fishing Vessel,Purse seine
Original port profile list,664584000,GALERNA III,9663166,SYC,S7UG,Fishing Vessel,Purse seine
Original port profile list,664628000,POSEIDON,8703660,SYC,S7UH,Fishing Vessel,Longline
