"vessel_name","MMSI","Flag","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","at_dock","percent_ais_voyage"
"ALFONSO RIERA TERCER","224282000","ESP","fishing","trawlers","MRT","CANSADO",2024-01-30 02:26:07,4,2024-01-31 19:17:19,4,1.7,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100
"ALFONSO RIERA TERCER","224282000","ESP","fishing","trawlers","SEN","DAKAR",2024-03-04 16:13:32,4,2024-03-31 18:11:35,4,27,"DAKAR",TRUE,8138.11111111111,"GNB, SEN",FALSE,"IWC, ACAP, ICCAT, SRFC, NAMMCO",FALSE,NA,FALSE,NA,TRUE,99.1
"ALFONSO RIERA TERCER","224282000","ESP","fishing","trawlers","SEN","DAKAR",2023-12-02 06:20:24,4,2024-01-01 11:25:11,4,30.2,"DAKAR",TRUE,6440.82222222222,"GNB",FALSE,"IWC, ICCAT, SRFC, ACAP, NAMMCO",FALSE,NA,FALSE,NA,TRUE,100
"ALFONSO RIERA TERCER","224282000","ESP","fishing","trawlers","GNB","BISSAU",2024-02-05 19:32:13,4,2024-03-04 06:00:14,4,27.4,"DAKAR",TRUE,5686.78333333332,"GNB",FALSE,"SRFC, NAMMCO, ICCAT, IWC, ACAP",FALSE,NA,FALSE,NA,TRUE,100
"YANGMIN8002","412209196","CHN","fishing","fishing","SEN","DAKAR",2023-12-23 21:08:19,4,2024-01-01 11:13:03,4,8.6,"DAKAR",TRUE,479.372222222222,"SEN, GNB",FALSE,"SRFC, IWC, NAMMCO, ICCAT, ACAP",FALSE,NA,TRUE,9,TRUE,100
"YANGMIN8002","412209196","CHN","fishing","fishing","GNB","BISSAU",2024-02-03 12:49:55,4,2024-02-18 17:14:37,4,15.2,"DAKAR",TRUE,3526.35833333333,"GNB, SEN",FALSE,"ACAP, IWC, ICCAT, NAMMCO, SRFC",FALSE,NA,TRUE,12,TRUE,64.5
"YANGMIN8002","412209196","CHN","fishing","fishing","SEN","DAKAR",2024-02-19 21:06:13,4,2024-03-04 09:30:52,4,13.5,"DAKAR",TRUE,787.434722222221,"SEN, GNB",FALSE,"IWC, ICCAT, ACAP, SRFC, NAMMCO",FALSE,NA,TRUE,9,TRUE,46.2
"YANGMIN8002","412209196","CHN","fishing","fishing","SEN","DAKAR",2024-03-06 13:38:39,4,2024-03-25 17:26:28,4,19.1,"DAKAR",TRUE,748.348611111111,"SEN, GNB",FALSE,"ICCAT, SRFC, IWC, NAMMCO, ACAP",FALSE,NA,TRUE,10,TRUE,31.5
"DUX","630123009","GNB","fishing","trawlers","SEN","DAKAR",2024-03-02 15:35:06,4,2024-03-27 09:26:00,4,24.7,"DAKAR",TRUE,6193.61944444444,"GIN, SEN, GNB",FALSE,"IWC, SRFC, ICCAT, ACAP, NAMMCO",FALSE,NA,FALSE,NA,TRUE,100
"DUX","630123009","GNB","fishing","trawlers","GNB","BISSAU",2024-01-03 21:18:51,4,2024-01-05 06:08:42,4,1.3,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100
"YINGMING8031","412209008","CHN","fishing","fishing","SEN","DAKAR",2024-03-12 01:33:20,4,2024-03-29 13:57:49,3,17.5,"DAKAR",TRUE,2124.84444444444,"SEN, GNB",FALSE,"NAMMCO, IWC, ACAP, SRFC, ICCAT",FALSE,NA,TRUE,7,TRUE,68.6
"YINGMING8031","412209008","CHN","fishing","fishing","SEN","DAKAR",2023-12-13 21:27:48,3,2024-01-01 10:15:44,3,18.5,"DAKAR",TRUE,289.072222222222,"GNB",FALSE,"SRFC, NAMMCO, ACAP, ICCAT, IWC",FALSE,NA,TRUE,15,TRUE,100
"YINGMING8031","412209008","CHN","fishing","fishing","GNB","BISSAU",2024-02-20 22:03:24,4,2024-03-08 23:01:31,4,17,"DAKAR",TRUE,963.956944444445,"SEN, GNB",FALSE,"ACAP, NAMMCO, SRFC, ICCAT, IWC",FALSE,NA,TRUE,11,TRUE,38
"HAI FENG 823","412660240","CHN","carrier","carrier","GNB","BISSAU",2024-02-25 14:53:44,4,2024-02-27 06:11:09,4,1.6,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,1,TRUE,100
"HAI FENG 823","412660240","CHN","carrier","carrier","GNB","BISSAU",2024-02-14 21:02:06,4,2024-02-16 10:44:12,4,1.5,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100
"HAI FENG 823","412660240","CHN","carrier","carrier","GNB","BISSAU",2024-03-10 16:27:15,4,2024-03-12 05:01:15,4,1.5,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100
"HAI FENG 823","412660240","CHN","carrier","carrier","GNB","BISSAU",2024-01-08 19:37:15,4,2024-01-10 05:50:41,4,1.4,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,85.7
"HAI FENG 823","412660240","CHN","carrier","carrier","GNB","BISSAU",2024-03-24 15:48:57,4,2024-03-26 05:34:44,4,1.5,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100
