vessel_name,MMSI,Flag,vessel_class,vessel_type,previous_port_country,previous_port,trip_start,trip_start_confidence,trip_end,trip_end_confidence,trip_duration_days,end_port,fishing,fishing_hours,fishing_eez,fishing_hs,fishing_rfmos,encounter,num_encounters,loitering,num_loitering,vessel_id,trip_id,at_dock,percent_ais_voyage
LA PINTA R,224175000,ESP,fishing,trawlers,SEN,DAKAR,29/02/2024 21:25,4,01/04/2024 05:22,4,31.3,DAKAR,TRUE,8200.465278,"GNB, SEN",FALSE,"ACAP, IWC, NAMMCO, ICCAT, SRFC",FALSE,NA,TRUE,6,c17075854-49bb-6c86-ad25-6b9f2d6f6ddd,224175000-c17075854-49bb-6c86-ad25-6b9f2d6f6ddd-018df6c1e230,TRUE,100
YANGMING8006,412209198,CHN,fishing,trawlers,SEN,DAKAR,18/03/2024 14:43,4,01/04/2024 05:41,4,13.6,DAKAR,TRUE,4954.870833,"SEN, GNB, GMB",FALSE,"ACAP, NAMMCO, SRFC, ICCAT, IWC",FALSE,NA,TRUE,4,053be272f-f82e-093f-d86c-862ba01b963d,412209198-053be272f-f82e-093f-d86c-862ba01b963d-018e52045358,TRUE,100
GUOJIN908,412549197,CHN,fishing,trawlers,SEN,DAKAR,21/03/2024 12:33,4,02/04/2024 00:12,4,11.5,DAKAR,TRUE,3115.258333,SEN,FALSE,"ICCAT, IWC, SRFC, NAMMCO, ACAP",FALSE,NA,FALSE,NA,b1746e808-87ff-d6f5-bd85-255ca80d9d1a,412549197-b1746e808-87ff-d6f5-bd85-255ca80d9d1a-018e6100b888,TRUE,100
HAIXIN210,412201212,CHN,fishing,trawlers,COG,POINTE NOIRE,11/12/2023 03:12,2,02/04/2024 02:47,2,113,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,e77e32382-27e9-798b-0676-1f1e77da0b4f,412201212-e77e32382-27e9-798b-0676-1f1e77da0b4f-018c56dce3b0,NA,NA
CHAMYUAMYU11,412200988,CHN,fishing,trawlers,SEN,DAKAR,16/03/2024 11:45,4,02/04/2024 06:47,3,16.8,DAKAR,TRUE,98.5125,SEN,FALSE,"ICCAT, SRFC, ACAP, IWC, NAMMCO",FALSE,NA,TRUE,3,f5b96f9c3-3dea-a442-a8f1-d9330bb93f69,412200988-f5b96f9c3-3dea-a442-a8f1-d9330bb93f69-018e471479a0,TRUE,12.9
YIFENG21,412209011,CHN,fishing,trawlers,SEN,DAKAR,13/03/2024 07:20,4,02/04/2024 15:13,4,20.3,DAKAR,TRUE,3686.538889,"SEN, GNB",FALSE,"SRFC, ICCAT, ACAP, NAMMCO, IWC",FALSE,NA,TRUE,10,c168bbf49-9c02-8ea2-724f-1f17ea5b988d,412209011-c168bbf49-9c02-8ea2-724f-1f17ea5b988d-018e36af6098,TRUE,92.5
YIFENG10,412200999,CHN,fishing,trawlers,SEN,DAKAR,10/03/2024 17:12,4,03/04/2024 04:43,4,23.5,DAKAR,TRUE,1792.498611,"SEN, GNB",FALSE,"SRFC, ICCAT, IWC, NAMMCO, ACAP",FALSE,NA,TRUE,14,c5de9be58-8b54-b6da-c3b6-408c3c806ce8,412200999-c5de9be58-8b54-b6da-c3b6-408c3c806ce8-018e295a6208,TRUE,18.9
LIAO YUAN YU 99,413201110,CHN,fishing,drifting_longlines,SEN,DAKAR,13/01/2024 18:26,4,03/04/2024 11:59,4,80.7,DAKAR,TRUE,147.1988889,NA,TRUE,"ACAP, ICCAT, IWC, NAMMCO",FALSE,NA,TRUE,46,cb0df71f9-918a-ca7a-8d04-3221f45b4f2e,413201110-cb0df71f9-918a-ca7a-8d04-3221f45b4f2e-018d04133c50,TRUE,56.7
YI FENG 30,412209128,CHN,seismic_vessel,trawlers,SEN,DAKAR,11/03/2024 13:38,4,04/04/2024 14:17,4,24,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,6,950337f10-0b9d-d461-c26c-1f50ba61d104,412209128-950337f10-0b9d-d461-c26c-1f50ba61d104-018e2dbc83a8,TRUE,97.7
YI FENG 8,412200997,CHN,fishing,trawlers,SEN,DAKAR,15/03/2024 19:37,4,04/04/2024 16:02,4,19.8,DAKAR,TRUE,7380.322222,"SEN, GNB",FALSE,"ICCAT, NAMMCO, SRFC, IWC, ACAP",FALSE,NA,FALSE,NA,f5bd98f66-6d86-ae44-98a1-a86dbba4f507,412200997-f5bd98f66-6d86-ae44-98a1-a86dbba4f507-018e439e8108,TRUE,96.6
GUOJIN908,412549197,CHN,fishing,trawlers,SEN,DAKAR,02/04/2024 01:43,4,04/04/2024 18:44,3,2.7,DAKAR,TRUE,396.5916667,SEN,FALSE,"SRFC, ICCAT, NAMMCO, ACAP, IWC",FALSE,NA,FALSE,NA,b1746e808-87ff-d6f5-bd85-255ca80d9d1a,412549197-b1746e808-87ff-d6f5-bd85-255ca80d9d1a-018e9c7977b0,TRUE,100
KALYONCU 1,629009176,GMB,fishing,fishing,GMB,BANJUL,04/04/2024 08:29,4,04/04/2024 19:36,4,0.5,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,472fd3fc3-347c-2018-b56a-facef598d927,629009176-472fd3fc3-347c-2018-b56a-facef598d927-018ea83a97a0,TRUE,100
YIFENG28,412209126,CHN,fishing,trawlers,SEN,DAKAR,23/03/2024 20:56,4,07/04/2024 05:49,4,14.3,DAKAR,TRUE,2709.752778,"SEN, GNB",FALSE,"NAMMCO, IWC, SRFC, ICCAT, ACAP",FALSE,NA,TRUE,11,e37cb040b-bbe1-3f3c-c4fc-69d978402d3f,412209126-e37cb040b-bbe1-3f3c-c4fc-69d978402d3f-018e6d1a1a38,TRUE,68.7
HAI FENG 823,412660240,CHN,carrier,carrier,GNB,BISSAU,07/04/2024 11:52,4,09/04/2024 05:40,4,1.7,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,1,d9b062f9d-de93-3a60-dd7c-87572c21a53b,412660240-d9b062f9d-de93-3a60-dd7c-87572c21a53b-018eb8672030,TRUE,100
KALYONCU 1,629009176,GMB,fishing,fishing,SEN,DAKAR,09/04/2024 08:23,4,09/04/2024 21:21,4,0.5,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,472fd3fc3-347c-2018-b56a-facef598d927,629009176-472fd3fc3-347c-2018-b56a-facef598d927-018ec1f40aa0,TRUE,100
MONTERAIOLA,224742000,ESP,fishing,tuna_purse_seines,CIV,ABIDJAN,11/03/2024 19:42,4,11/04/2024 04:20,4,30.3,DAKAR,TRUE,78.49333333,NA,TRUE,"ICCAT, ACAP, NAMMCO, IWC",FALSE,NA,TRUE,2,c44bf0cee-e97e-f9c4-3c32-97d90554b144,224742000-c44bf0cee-e97e-f9c4-3c32-97d90554b144-018e2f096668,TRUE,12.7
F/V ALBACORA QUINCE,224727000,ESP,fishing,tuna_purse_seines,CIV,ABIDJAN,14/03/2024 17:02,4,11/04/2024 06:25,4,27.5,DAKAR,TRUE,10.83111111,NA,TRUE,"NAMMCO, ACAP, ICCAT, IWC",FALSE,NA,TRUE,1,83487d338-8fba-2645-7342-563c4cb5611f,224727000-83487d338-8fba-2645-7342-563c4cb5611f-018e3de9e310,TRUE,6.1
YANGMIN8002,412209196,CHN,fishing,trawlers,SEN,DAKAR,27/03/2024 22:17,4,11/04/2024 07:42,4,14.4,DAKAR,TRUE,721.1069444,"SEN, GNB",FALSE,"ICCAT, NAMMCO, SRFC, ACAP, IWC",FALSE,NA,TRUE,9,f23a6145b-bb7f-8e7e-5c7e-61a9e335f577,412209196-f23a6145b-bb7f-8e7e-5c7e-61a9e335f577-018e81fdaac8,TRUE,23
RIODOMAR CUARTO,224009000,ESP,fishing,trawlers,MRT,CANSADO,09/04/2024 08:38,4,11/04/2024 08:08,4,2,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,f98e773d9-9f32-9ebb-15d9-21c905db40b0,224009000-f98e773d9-9f32-9ebb-15d9-21c905db40b0-018ec20208a8,TRUE,100
RIODOMAR QUINTO,224394000,ESP,fishing,trawlers,MRT,CANSADO,09/04/2024 08:41,4,11/04/2024 08:22,4,2,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,4a0a5f1e2-200f-d3b6-8e90-73874b930291,224394000-4a0a5f1e2-200f-d3b6-8e90-73874b930291-018ec2048d30,TRUE,100
EGALUZE,224580000,ESP,fishing,tuna_purse_seines,CIV,ABIDJAN,05/03/2024 12:04,4,11/04/2024 15:14,4,37.1,DAKAR,TRUE,102.9513889,SLE,FALSE,"ICCAT, NAMMCO, IWC, SRFC, ACAP",FALSE,NA,TRUE,3,a0aa90604-4562-1097-2a1e-56ca4a57e84f,224580000-a0aa90604-4562-1097-2a1e-56ca4a57e84f-018e0e800a00,TRUE,2.7
ELSAAD,629009158,GMB,fishing,other,GMB,BANJUL,28/03/2024 16:44,4,12/04/2024 01:40,4,14.3,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,88bcefbe0-0278-4687-8093-91e3e4ae847b,629009158-88bcefbe0-0278-4687-8093-91e3e4ae847b-018e85f2ce10,TRUE,100
COSTA DE  HUELVA,224854000,ESP,fishing,trawlers,GNB,BISSAU,26/02/2024 23:42,4,12/04/2024 07:09,4,45.3,DAKAR,TRUE,11766.95556,"GNB, SEN",FALSE,"ICCAT, ACAP, IWC, NAMMCO, SRFC",FALSE,NA,TRUE,3,1e31d7cd6-6c64-7b64-d9fd-71ea2e122789,224854000-1e31d7cd6-6c64-7b64-d9fd-71ea2e122789-018de7ccdbb8,TRUE,96
EVERRICH 636,100902469,CIV,fishing,drifting_longlines,SEN,DAKAR,23/01/2024 05:33,4,12/04/2024 10:05,4,80.2,DAKAR,TRUE,3155.630833,NA,TRUE,"IWC, ICCAT, ACAP",FALSE,NA,TRUE,39,e930e06c6-68bc-f92a-0a67-d097d3769d0a,100902469-e930e06c6-68bc-f92a-0a67-d097d3769d0a-018d34cef190,TRUE,76
YANGMING8032,412209009,CHN,fishing,trawlers,SEN,DAKAR,25/03/2024 12:10,4,12/04/2024 14:41,4,18.1,DAKAR,TRUE,7847.804167,"GNB, SEN",FALSE,"ACAP, ICCAT, IWC, SRFC, NAMMCO",FALSE,NA,TRUE,12,fff3fc565-577b-cea2-43c6-9e6c215281f7,412209009-fff3fc565-577b-cea2-43c6-9e6c215281f7-018e75851600,TRUE,92.1
