Action,Rationale (Remove / Check),Name,Flag,Vessel type,Gear type,Confidence 2 port visits check,TMT notes,vessel_name,MMSI,Flag2,vessel_class,vessel_type,previous_port_country,previous_port,trip_start,Trip start,trip_end,Trip End ,trip_duration_days,end_port,fishing,fishing_hours,fishing_eez,fishing_hs,fishing_rfmos,encounter,num_encounters,loitering,num_loitering,at_dock,percent_ais_voyage
,,,,,,,,EGALUZE,224580000,ESP,fishing,tuna_purse_seines,CIV,ABIDJAN,2/24/25 10:52,4,2/25/25 17:44,4,"1,3",DAKAR,TRUE,"6,008,333,333",SEN,FALSE,"SRFC, ACAP, NAMMCO, ICCAT, IWC",FALSE,NA,FALSE,NA,TRUE,100
CHECK,,,,,Trawlers,,,FU YUAN YU 373,412440268,CHN,fishing,trawlers,GIN,CONAKRY,1/13/25 21:57,4,1/16/25 0:19,4,"2,1",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"94,2"
,,,,,,,,DIMITRIOS I,629009092,GMB,fishing,trawlers,GMB,BANJUL,2/21/25 19:06,4,03/06/2025 07:18,4,"12,5",DAKAR,TRUE,"2,764,341,667",GMB,FALSE,"IWC, SRFC, ACAP, NAMMCO, ICCAT",FALSE,NA,FALSE,NA,TRUE,"99,7"
,,,,,,,,YANGMING8006,412209198,CHN,fishing,trawlers,SEN,DAKAR,12/15/24 13:36,4,01/01/2025 10:40,4,"16,9",DAKAR,TRUE,"1,382,736,111",GNB,FALSE,"IWC, NAMMCO, ACAP, ICCAT, SRFC",FALSE,NA,TRUE,7,NA,NA
CHECK,,,,,Trawlers,,,HAIXIN28,412201872,CHN,fishing,trawlers,CHN,DALIAN,12/01/2015 18:03,3,01/09/2025 12:07,4,"3326,8",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA
,,,,,,,,GUOJIN908,412549197,CHN,fishing,trawlers,SEN,DAKAR,03/07/2025 20:50,4,3/28/25 20:37,4,21,DAKAR,TRUE,"4,111,295,833",SEN,FALSE,"NAMMCO, ICCAT, ACAP, SRFC, IWC",TRUE,1,TRUE,5,TRUE,"99,4"
,,,,,,,,ILKER YILMAZ,271073688,TUR,fishing,other_purse_seines,MRT,CANSADO,1/15/25 18:52,4,1/17/25 11:04,4,"1,7",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,100
,,,,,,,,PEIX MAR 25,224033000,ESP,fishing,trawlers,MRT,CANSADO,1/18/25 16:46,4,1/20/25 10:20,4,"1,7",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100
,,,,,,,,YANGMING8005,412209197,CHN,fishing,trawlers,SEN,DAKAR,12/05/2024 16:04,4,01/01/2025 08:24,3,"26,7",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA
CHECK,,,,,unknown,,,ZHONGYUE89,412549153,CHN,fishing,unknown,SEN,DAKAR,12/17/24 20:33,4,01/01/2025 17:13,4,"14,8",DAKAR,TRUE,"4,414,041,667",SEN,FALSE,"SRFC, ICCAT, NAMMCO, IWC, ACAP",FALSE,NA,TRUE,6,NA,NA
,,,,,,,,LAGOON PHOENIX,311001255,BHS,carrier,carrier,BEL,ANTWERP,1/16/25 20:11,4,1/23/25 12:25,4,"6,7",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,100
CHECK,,,,,Trawlers,,,YANGMING8001,412209195,CHN,fishing,trawlers,GNB,BISSAU,03/12/2025 22:40,4,3/25/25 18:21,4,"12,8",DAKAR,TRUE,"2,571,786,111","GNB, SEN",FALSE,"ACAP, IWC, SRFC, NAMMCO, ICCAT",FALSE,NA,TRUE,5,TRUE,"62,1"
