Remove or check,Incorrect name,Incorrect / missing flag,Incorrect / missing vessel type,Incorrect / missing gear,Confidence check,Check trip start ,Check missing visits,Check previous iteration,vessel_name,MMSI,Flag,vessel_class,vessel_type,previous_port_country,previous_port,trip_start,trip_end,trip_duration_days,end_port,fishing,fishing_hours,fishing_eez,fishing_hs,fishing_rfmos,encounter,num_encounters,loitering,num_loitering,at_dock,percent_ais_voyage,FACT name,FACT flag,FACT gear type,Flag check,FACT vessel type / not PP,FACT gear / not PP,Notes
,,,,,,Yes,No,Yes,YIFENG28,412209126,CHN,fishing,trawlers,SEN,DAKAR,12/15/23 18:03,01/01/2024 06:12,16.5,DAKAR,TRUE,4105.583333,"SEN, GNB",FALSE,"SRFC, ICCAT, ACAP, IWC, NAMMCO",FALSE,NA,TRUE,13,TRUE,100,YIFENG28,CHN,UNKNOWN,TRUE,#N/A,#N/A,
,,,,Trawler,,Yes,No,Yes,YIFENG10,412200999,CHN,fishing,fishing,SEN,DAKAR,12/17/23 4:36,01/01/2024 07:43,15.1,DAKAR,TRUE,120.7583333,GNB,FALSE,"ICCAT, SRFC, NAMMCO, IWC, ACAP",FALSE,NA,TRUE,13,TRUE,87.5,YI FENG 10,CHN,Trawler,TRUE,#N/A,#N/A,
,,,,,,Yes,No,Yes,JAIME R,224069140,ESP,fishing,trawlers,SEN,DAKAR,12/04/2023 23:58,01/01/2024 08:41,27.3,DAKAR,TRUE,8441.333333,"GNB, SEN",FALSE,"SRFC, ICCAT, NAMMCO, IWC, ACAP",FALSE,NA,TRUE,25,TRUE,100,#N/A,#N/A,#N/A,,,,
,,,,Trawler,,Yes,No,Yes,YANGMING8006,412209198,CHN,fishing,inconclusive,SEN,DAKAR,12/15/23 20:55,01/01/2024 09:31,16.5,DAKAR,TRUE,3349.701389,"GNB, SEN",FALSE,"NAMMCO, SRFC, IWC, ACAP, ICCAT",FALSE,NA,TRUE,7,TRUE,100,#N/A,#N/A,#N/A,,,Trawler,
,,,,,,Yes,No,Yes,YANGMING8032,412209009,CHN,fishing,trawlers,SEN,DAKAR,12/21/23 18:30,01/01/2024 10:06,10.6,DAKAR,TRUE,395.0263889,"SEN, GNB",FALSE,"ACAP, NAMMCO, ICCAT, SRFC, IWC",FALSE,NA,TRUE,13,TRUE,90.9,#N/A,#N/A,#N/A,,,,
,,,,,,Yes,No,Yes,YINGMING8031,412209008,CHN,fishing,fishing,SEN,DAKAR,12/13/23 21:27,01/01/2024 10:15,18.5,DAKAR,TRUE,289.0722222,GNB,FALSE,"SRFC, ACAP, ICCAT, NAMMCO, IWC",FALSE,NA,TRUE,15,TRUE,100,YANG MING 8031,CHN,UNKNOWN,TRUE,#N/A,#N/A,
,,,,,,Yes,No,Yes,YANGMING8001,412209195,CHN,fishing,trawlers,SEN,DAKAR,12/20/23 23:33,01/01/2024 10:58,11.5,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,2,TRUE,27.3,YANG MING 8001,CHN,UNKNOWN,TRUE,#N/A,#N/A,
,,,,Trawler ,,Yes,No,Yes,YANGMIN8002,412209196,CHN,fishing,fishing,SEN,DAKAR,12/23/23 21:08,01/01/2024 11:13,8.6,DAKAR,TRUE,479.3722222,"GNB, SEN",FALSE,"IWC, ACAP, ICCAT, NAMMCO, SRFC",FALSE,NA,TRUE,9,TRUE,100,YANG MING 8002,CHN,Trawler ,TRUE,#N/A,#N/A,
,,,,,,Yes,No,Yes,ALFONSO RIERA TERCER,224282000,ESP,fishing,trawlers,SEN,DAKAR,12/02/2023 06:20,01/01/2024 11:25,30.2,DAKAR,TRUE,6440.822222,GNB,FALSE,"SRFC, IWC, NAMMCO, ACAP, ICCAT",FALSE,NA,FALSE,NA,TRUE,100,ALFONSO RIERA TERCERO,ESP,Trawler,TRUE,#N/A,#N/A,
,,,,,,Yes,No,Yes,ALFONSO RIERA SEGUND,224032270,ESP,fishing,trawlers,SEN,DAKAR,12/02/2023 02:21,01/01/2024 12:49,30.4,DAKAR,TRUE,6442.361111,GNB,FALSE,"ICCAT, ACAP, IWC, SRFC, NAMMCO",FALSE,NA,FALSE,NA,TRUE,100,ALFONSO RIERA SEGUNDO,ESP,Trawler,TRUE,#N/A,#N/A,
