"vessel_id","ssvid","year","shipname","vessel_flag_best","mmsi_flag","callsign","imo","vessel_class_best","geartype_best","vessel_class_initial","class_confidence_initial","trip_id","trip_start","start_port_iso3","start_port_label","trip_start_confidence","trip_end","end_port_iso3","end_port_label","end_port_sublabel","trip_end_anchorage_id","trip_end_confidence","trip_duration_days","start_portvisit_timestamp","end_portvisit_timestamp","port_event_duration_days","distance_from_shore_m","dock","trip_end_visit_id","stop_anchorage_ids","start_latitude","start_longitude","num_encounters","num_loitering","num_fishing","num_AISdisabling","encounter","loitering","fishing","AISdisabling","high_seas","eezs","rfmos","fishing_hours","total_voyage_h","total_ais_h","percent_ais_voyage","prev_visit_timestamp","Date.added","CurrentName","Imo","CurrentFlag","CurrentIrcs","VesselType","GearType","vv_url","abj_lagoon","abj_vridi","abj_cargo","abj_fishing","abj_offshore"
"e381c1064-4581-8291-c3dc-2be09ac071b9","312078000",2025,"EGALABUR","BLZ","BLZ","V3OI5","9710995","cargo","cargo","fishing","low","312078000-e381c1064-4581-8291-c3dc-2be09ac071b9-01972fa34a40",2025-06-02 07:55:20,"CIV","ABIDJAN",4,2025-06-28 06:45:02,"CIV","ABIDJAN","ABIDJAN PORT BOUET OFFSHORE","0fc1ef6b",4,25.9,2025-06-28 06:45:02,2025-07-04 10:35:59,6.2,3000,FALSE,"5d36805c36676bc1aa0ecff7f8636f0a","0fc1e9af, 0fc1ef6b",5.23,-3.97,0,1,0,1,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,0,624,107,17.1,2025-06-02 07:55:20,NA,NA,NA,NA,NA,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e381c1064-4581-8291-c3dc-2be09ac071b9?&start=2025-05-31&end=2025-06-30"")",TRUE,FALSE,FALSE,FALSE,TRUE
"e381c1064-4581-8291-c3dc-2be09ac071b9","312078000",2025,"EGALABUR","BLZ","BLZ","V3OI5","9710995","cargo","cargo","fishing","low","312078000-e381c1064-4581-8291-c3dc-2be09ac071b9-019678260600",2025-04-27 16:48:00,"SEN","DAKAR",4,2025-05-09 14:01:05,"CIV","ABIDJAN","ABIDJAN OFFSHORE","0fc1e631",4,11.9,2025-05-09 14:01:05,2025-05-11 17:34:02,2.1,5000,FALSE,"058d170435df8ff3c6e94ad9dce6063b","0fc1ef6b, 0fc1e631, 0fc1e965",5.2,-4.02,0,0,0,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,0,287,89,31,2025-01-31 20:41:40,NA,NA,NA,NA,NA,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e381c1064-4581-8291-c3dc-2be09ac071b9?&start=2025-04-25&end=2025-05-11"")",FALSE,FALSE,FALSE,FALSE,TRUE
"e381c1064-4581-8291-c3dc-2be09ac071b9","312078000",2025,"EGALABUR","BLZ","BLZ","V3OI5","9710995","cargo","cargo","fishing","low","312078000-e381c1064-4581-8291-c3dc-2be09ac071b9-0196d566a4a0",2025-05-15 19:23:16,"STP","SAO TOME",4,2025-05-29 13:47:15,"CIV","ABIDJAN","ABIDJAN PORT BOUET OFFSHORE","0fc1ef6b",4,13.8,2025-05-29 13:47:15,2025-06-02 07:55:20,3.8,3000,FALSE,"086d32ff572bdc260772e7539fd76a9c","0fc1e965, 0fc1e9b9, 0fc1e9b7, 0fc1ef6b",5.23,-3.97,0,1,0,1,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,0,331,43,13,2025-05-11 17:34:02,NA,NA,NA,NA,NA,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e381c1064-4581-8291-c3dc-2be09ac071b9?&start=2025-05-13&end=2025-05-31"")",TRUE,FALSE,FALSE,FALSE,TRUE
"ba4343d28-82b7-2393-0c4d-15ac0c4951fb","312155000",2025,"JC GLORIA","BLZ","BLZ","V3WC5","8988818","cargo","cargo","fishing","low","312155000-ba4343d28-82b7-2393-0c4d-15ac0c4951fb-01974ef46528",2025-06-08 09:52:09,"CIV","ABIDJAN",4,2025-06-26 07:40:40,"CIV","ABIDJAN","ABIDJAN PORT BOUET OFFSHORE","0fc1ef6b",4,17.9,2025-06-26 07:40:40,2025-07-01 10:35:00,5.1,3000,FALSE,"8991b3efe1fb8c70a44d8f0d5cd8c87a","0fc1e965, 0fc1dd69, 0fc1ef6b",5.23,-3.97,0,0,0,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,0,431,69,16,2025-06-08 09:52:09,NA,NA,NA,NA,NA,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ba4343d28-82b7-2393-0c4d-15ac0c4951fb?&start=2025-06-06&end=2025-06-28"")",FALSE,FALSE,FALSE,FALSE,TRUE
"ba4343d28-82b7-2393-0c4d-15ac0c4951fb","312155000",2025,"JC GLORIA","BLZ","BLZ","V3WC5","8988818","cargo","cargo","fishing","low","312155000-ba4343d28-82b7-2393-0c4d-15ac0c4951fb-019681de2ad8",2025-04-29 14:05:43,"CIV","ABIDJAN",4,2025-06-03 07:25:49,"CIV","ABIDJAN","ABIDJAN PORT BOUET OFFSHORE","0fc1ef6b",4,34.7,2025-06-03 07:25:49,2025-06-08 09:52:09,5.1,3000,FALSE,"741bf4d0e38325eac9f6ea02e6ef4ed5","0fc1e97b, 0fc1e965, 0fc1e631, 0fc1ef6b",5.23,-3.97,0,0,0,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,0,834,43,5.2,2025-06-03 06:40:31,NA,NA,NA,NA,NA,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ba4343d28-82b7-2393-0c4d-15ac0c4951fb?&start=2025-04-27&end=2025-06-05"")",FALSE,FALSE,FALSE,FALSE,TRUE
"c4f5dd543-3c32-676f-2e07-f9a8b9b6b35a","277327000",2025,"LIBRA","LTU","LTU","LYRT","9009683","carrier","carrier","carrier","high","277327000-c4f5dd543-3c32-676f-2e07-f9a8b9b6b35a-0197838526d8",2025-06-18 14:50:31,"MRT","CANSADO",4,2025-06-24 23:23:54,"CIV","ABIDJAN","ABIDJAN OFFSHORE","0fc1dd49",4,6.3,2025-06-24 23:23:54,2025-06-29 02:59:52,4.1,3000,FALSE,"3780d8470e465396ff3982c4e2618d14","0fc1dd49, 0fc1e965, 0fc1e631",5.21,-4.09,0,0,0,0,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,0,154,154,100,2023-06-26 08:04:08,"Original port profile list","LIBRA",9009683,"LTU","LYRT","carrier",NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c4f5dd543-3c32-676f-2e07-f9a8b9b6b35a?&start=2025-06-16&end=2025-06-26"")",FALSE,FALSE,FALSE,FALSE,TRUE
"ffc999ae0-0ca9-8e3b-7eef-21d426de0782","309681000",2025,"GREEN BRAZIL","BHS","BHS","C6WH6",NA,"carrier","carrier","carrier","high","309681000-ffc999ae0-0ca9-8e3b-7eef-21d426de0782-0196743d4e68",2025-04-26 22:34:57,"NGA","LAGOS",4,2025-04-28 15:33:51,"CIV","ABIDJAN","ABIDJAN OFFSHORE","0fc1e7eb",4,1.7,2025-04-28 15:33:51,2025-05-01 17:20:31,3.1,5000,FALSE,"c8078f1759c2e205518ddae6e96342c8","0fc1dd69, 0fc1dd5f, 0fc1e7f5, 0fc1e7eb",5.2,-4.05,0,0,0,0,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,0,42,42,100,NA,NA,NA,NA,NA,NA,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ffc999ae0-0ca9-8e3b-7eef-21d426de0782?&start=2025-04-24&end=2025-04-30"")",FALSE,FALSE,FALSE,FALSE,TRUE
"f8f94e538-83e7-3344-2d4a-09ad94082937","311000713",2025,"ORANGE SEA","BHS","BHS","C6DL7","9795971","carrier","carrier","carrier","high","311000713-f8f94e538-83e7-3344-2d4a-09ad94082937-0197494d1d40",2025-06-07 07:31:20,"CMR","DOUALA",4,2025-06-10 23:07:17,"CIV","ABIDJAN","ABIDJAN OFFSHORE","0fc1e631",4,3.6,2025-06-10 23:07:17,2025-06-25 19:21:32,14.8,5000,FALSE,"9c874590241dfb00206187114048f5f0","0fc1dd69, 0fc1e631, 0fc1e871",5.2,-4.02,1,1,0,0,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,0,89,89,100,2025-03-07 20:48:46,"Original port profile list","ORANGE SEA",9795971,"BHS","C6DL7","carrier",NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f8f94e538-83e7-3344-2d4a-09ad94082937?&start=2025-06-05&end=2025-06-12"")",FALSE,FALSE,FALSE,FALSE,TRUE
"cedbb451f-f3bf-f994-f27f-32afcd7a4c9d","311001173",2025,"COPPENAME","BHS","BHS","C6FT6","8807636","carrier","carrier","carrier","high","311001173-cedbb451f-f3bf-f994-f27f-32afcd7a4c9d-019648e67140",2025-04-18 12:36:24,"NAM","WALVIS BAY",4,2025-04-30 19:28:29,"CIV","ABIDJAN","ABIDJAN OFFSHORE","0fc1dd69",4,12.3,2025-04-30 19:28:29,2025-06-03 20:31:05,34,6000,FALSE,"c9c11882700018c71440d0faf5b020e7","0fc1e9af, 0fc1e965, 0fc1dd49, 0fc1dd69, 0fc1e9b7, 0fc1e631",5.19,-4.08,0,4,0,0,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,0,296,296,100,2024-12-27 21:19:47,NA,NA,NA,NA,NA,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cedbb451f-f3bf-f994-f27f-32afcd7a4c9d?&start=2025-04-16&end=2025-05-02"")",TRUE,FALSE,FALSE,FALSE,TRUE
"cf9115228-8845-42fd-16a4-f8cad1d3d405","311043800",2025,"GREEN AUSTEVOLL","BHS","BHS","C6YS6","8819299","carrier","carrier","carrier","high","311043800-cf9115228-8845-42fd-16a4-f8cad1d3d405-019624e105a8",2025-04-11 12:44:09,"MRT","CANSADO",4,2025-04-16 15:00:18,"CIV","ABIDJAN","ABIDJAN OFFSHORE","0fc1e7eb",4,5.1,2025-04-16 15:00:18,2025-04-17 20:30:53,1.2,5000,FALSE,"4496e5f406f202697d5c84bd4500cc0d","0fc1ef6b, 0fc1e965, 0fc1e7eb, 0fc1e81b, 0fc1e805",5.2,-4.05,0,0,0,0,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,0,124,124,100,2025-03-12 10:33:50,"Original port profile list","GREEN AUSTEVOLL",8819299,"BHS","C6YS6","carrier",NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cf9115228-8845-42fd-16a4-f8cad1d3d405?&start=2025-04-09&end=2025-04-18"")",FALSE,FALSE,FALSE,FALSE,TRUE
