"vessel_name","MMSI","Flag","AIS_Flag","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","tema_general","tema_fuel","tema_fishing","takoradi_general","num_fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","AISdisabling","num_AISdisabling","percent_ais_voyage","vv_url"
NA,"412800000","CHN","CHN",NA,"fishing","low","cargo","cargo","GHA","TEMA",2025-06-11 17:49:03,4,2025-06-30 22:37:42,3,19.2,"TEMA",FALSE,FALSE,TRUE,FALSE,0,0,NA,FALSE,NA,TRUE,1,TRUE,5,FALSE,0,11.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a7129a35a-a36b-72f3-f901-49fb2fcf1f82?&start=2025-06-09&end=2025-07-02"")"
NA,"412800000","CHN","CHN",NA,"fishing","low","cargo","cargo","GHA","TEMA",2025-05-02 10:01:13,4,2025-05-07 06:16:41,4,4.8,"TEMA",FALSE,FALSE,TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,1,FALSE,0,12.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a7129a35a-a36b-72f3-f901-49fb2fcf1f82?&start=2025-04-30&end=2025-05-09"")"
NA,"412800000","CHN","CHN",NA,"fishing","low","cargo","cargo","GHA","TEMA",2025-05-11 10:18:00,4,2025-06-10 06:02:30,4,29.8,"TEMA",FALSE,FALSE,TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,6,FALSE,0,11.6,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a7129a35a-a36b-72f3-f901-49fb2fcf1f82?&start=2025-05-09&end=2025-06-12"")"
"CARIBBEAN STAR","636013068","LBR","LBR","9150810","carrier","low","carrier","carrier","CMR","DOUALA",2025-05-18 08:11:46,4,2025-05-20 03:38:07,4,1.8,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6215b49b8-8d6d-c4dc-240a-8d5e38e826d6?&start=2025-05-16&end=2025-05-22"")"
"CARIBBEAN STAR","636013068","LBR","LBR","9150810","carrier","low","carrier","carrier","CMR","DOUALA",2025-04-13 17:59:52,4,2025-04-15 14:00:24,4,1.8,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6215b49b8-8d6d-c4dc-240a-8d5e38e826d6?&start=2025-04-11&end=2025-04-17"")"
"CARIBBEAN STAR","636013068","LBR","LBR","9150810","carrier","low","carrier","carrier","CMR","DOUALA",2025-06-22 13:43:55,4,2025-06-24 10:28:53,4,1.8,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6215b49b8-8d6d-c4dc-240a-8d5e38e826d6?&start=2025-06-20&end=2025-06-26"")"
"COSTA RICAN STAR","636013073","LBR","LBR","9150822","carrier","low","carrier","carrier","CMR","DOUALA",2025-04-08 15:33:09,4,2025-04-10 06:34:00,4,1.6,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ace7e52e7-7e8a-f948-ef45-d49a0b5a77af?&start=2025-04-06&end=2025-04-12"")"
"COSTA RICAN STAR","636013073","LBR","LBR","9150822","carrier","low","carrier","carrier","CMR","DOUALA",2025-06-15 08:16:22,4,2025-06-17 05:40:28,4,1.9,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ace7e52e7-7e8a-f948-ef45-d49a0b5a77af?&start=2025-06-13&end=2025-06-19"")"
"COSTA RICAN STAR","636013073","LBR","LBR","9150822","carrier","low","carrier","carrier","CMR","DOUALA",2025-05-11 17:36:17,4,2025-05-13 08:40:36,4,1.6,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ace7e52e7-7e8a-f948-ef45-d49a0b5a77af?&start=2025-05-09&end=2025-05-15"")"
"COLOMBIAN STAR","636014240","LBR","LBR","9172480","carrier","low","carrier","carrier","CMR","DOUALA",2025-05-25 15:45:54,4,2025-05-27 11:40:44,4,1.8,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/8bce66adf-faea-4494-cf58-4990faf56820?&start=2025-05-23&end=2025-05-29"")"
