"vessel_name","MMSI","Flag","AIS_Flag","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","prev_visit_timestamp","entrance","navy","west_basin","mid_basin","east_basin","container","dak_fishing","dak_offshore","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","AISdisabling","num_AISdisabling","percent_ais_voyage","vv_url"
"BALTIC JASMINE","209882000","CYP","CYP","9181156","added_TMT","TMT","carrier","carrier","BEL","ANTWERP",2025-09-03 10:52:03,"4",2025-09-09 18:02:25,"4","6.3","DAKAR",NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3e80ccbc6-6d2e-06d9-cb22-2d8bcdcf3d02?&start=2025-09-01&end=2025-09-11"")"
"RIODOMAR CUARTO","224009000","ESP","ESP","9317626","fishing","high","fishing","trawlers","MRT","NOUADHIBOU",2025-09-27 15:17:16,"3",2025-09-27 19:42:32,"3","0.2","DAKAR",2025-07-02 02:25:21,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,20,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f98e773d9-9f32-9ebb-15d9-21c905db40b0?&start=2025-09-25&end=2025-09-29"")"
"JAIME R","224069140","ESP","ESP","9098880","fishing","high","fishing","trawlers","SEN","DAKAR",2025-07-27 15:10:25,"4",2025-09-02 04:14:24,"4","36.5","DAKAR",2025-07-27 15:10:25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,4,FALSE,0,4.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c55db3f88-825c-7b5e-ea2b-90578f54ef3f?&start=2025-07-25&end=2025-09-04"")"
"EGALUZE","224580000","ESP","ESP","8109620","fishing","high","fishing","purse_seines","SEN","DAKAR",2025-08-15 07:23:48,"4",2025-08-25 15:13:40,"4","10.3","DAKAR",2025-08-15 07:23:48,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,4.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a0aa90604-4562-1097-2a1e-56ca4a57e84f?&start=2025-08-13&end=2025-08-27"")"
"RELEIXO","224706000","ESP","ESP",NA,"fishing","high","fishing","trawlers","ESP","NERGA",2020-11-26 11:51:21,"4",2025-08-26 18:01:46,"4","1734.3","DAKAR",2025-07-03 05:22:44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,0.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a6b7cbb93-3985-24cc-4aef-a1e73929bf7b?&start=2020-11-24&end=2025-08-28"")"
"V CENTENARIO","224739000","ESP","ESP","7812012","carrier","high","carrier","carrier","AGO","LUANDA",2025-07-14 16:29:35,"4",2025-07-24 06:50:01,"4","9.6","DAKAR",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/be2b879d8-8ec0-02cd-249c-a607a5007740?&start=2025-07-12&end=2025-07-26"")"
"GARBOLA","225461000","ESP","ESP","9747560","fishing","low","support","purse_seine_support","SEN","DAKAR",2025-06-02 08:50:01,"4",2025-07-28 05:05:47,"4","55.8","DAKAR",2025-06-02 08:50:01,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,1,TRUE,2,2.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cf930809d-da1e-0f57-d725-bee6826624ab?&start=2025-05-31&end=2025-07-30"")"
"JOMAFRAN SEGUNDO","225995265","ESP","ESP",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-07-02 12:31:35,"4",2025-07-03 00:54:46,"4","0.5","DAKAR",2025-07-02 12:31:35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cbd74e07f-fa3d-b182-eee3-802733bc5d5e?&start=2025-06-30&end=2025-07-05"")"
"MAJESTIC III","235002499","GBR","GBR",NA,"fishing","high","fishing","trawlers","ESP","MORRO DEL JABLE",2025-07-13 08:25:43,"4",2025-07-18 05:00:59,"4","4.8","DAKAR",NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,99.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ee3b4eb25-5fb1-ee4c-f384-8f55c3b5f846?&start=2025-07-11&end=2025-07-20"")"
"ARGONAUT IV","250104890","IRL","IRL",NA,"fishing","high","fishing","other_purse_seines","IRL","IRL-65",2025-09-09 15:01:04,"4",2025-09-22 17:38:48,"3","13.1","DAKAR",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,22.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b1aa567cd-d9e9-f200-10d3-e4a3e7e1b2e3?&start=2025-09-07&end=2025-09-24"")"
