"vessel_name","MMSI","Flag","AIS_Flag","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","prev_visit_timestamp","at_dock","tema_general","tema_fuel","tema_fishing","tema_offshore","takoradi_general","takoradi_north","sekondi_takoradi","takoradi_offshore","num_fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","AISdisabling","num_AISdisabling","percent_ais_voyage","vv_url"
"IVAR REEFER","311062300","BHS","BHS","8819938","added_TMT","TMT","carrier","carrier","DNK","SKAGEN",2025-07-25 22:55:44,4,2025-08-07 03:55:24,4,12.2,"SEKONDI-TAKORADI",NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,99.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/d6841f1a1-121a-420d-6728-e5561ed14e9c?&start=2025-07-23&end=2025-08-09"")"
"CROWN SAPPHIRE","311000855","BHS","BHS","9159115","added_TMT","TMT","carrier","carrier","CIV","ABIDJAN",2025-09-01 22:04:36,4,2025-09-02 21:17:02,4,1,"TEMA",NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a7332a0d7-7d0e-aa0a-5987-7313d025e136?&start=2025-08-30&end=2025-09-04"")"
"FRIO SHINANO","311001574","BHS","BHS","9073385","added_TMT","TMT","carrier","carrier","CIV","ABIDJAN",2025-08-21 23:40:39,4,2025-08-23 12:09:38,4,1.5,"TEMA",2024-12-12 16:35:59,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,1,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/acbd1e4d3-3863-e643-092e-a8d5c401a0af?&start=2025-08-19&end=2025-08-25"")"
"ORANGE  FROST","306883000","CUW","BES","9797656","added_TMT","TMT","other","other","MRT","CANSADO",2025-09-19 14:02:52,4,2025-09-25 15:04:20,4,6,"TEMA",2025-07-17 23:47:12,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b06d84389-9205-2d67-6632-e62e97492eaa?&start=2025-09-17&end=2025-09-27"")"
"MARTA REEFER","355295000","PAN","PAN","9174701","added_TMT","TMT","carrier","carrier","MRT","CANSADO",2025-08-10 14:50:03,4,2025-08-17 06:49:27,4,6.6,"TEMA",2025-05-09 23:59:53,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/bcb7b9666-6e7b-c035-a144-c0c6a909f2a3?&start=2025-08-08&end=2025-08-19"")"
"MONTELAURA","355855000","PAN","PAN","7625500","added_TMT","TMT","carrier","carrier","MRT","CANSADO",2025-08-16 08:35:39,4,2025-08-25 09:50:39,4,9,"TEMA",NA,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/115b89b37-784e-18ae-2885-d92d06a99119?&start=2025-08-14&end=2025-08-27"")"
"ORANGE ICE","352002156","PAN","PAN","9797917","added_TMT","TMT","other","other","MRT","CANSADO",2025-08-23 14:05:39,4,2025-08-29 10:01:30,4,5.8,"TEMA",NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/0c219146d-dd2f-8dc0-f1f0-586dd232e166?&start=2025-08-21&end=2025-08-31"")"
"SIERRA QUEEN","311001226","BHS","BHS","9127928","carrier","high","carrier","carrier","MRT","CANSADO",2025-07-17 20:33:43,4,2025-07-23 07:25:27,4,5.4,"TEMA",2024-08-25 19:01:05,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/0c6c3fd83-3c96-9c78-eb31-18e4eec23949?&start=2025-07-15&end=2025-07-25"")"
"ORANGE SEA","311000713","BHS","BHS","9795971","carrier","high","carrier","carrier","MRT","CANSADO",2025-07-08 01:12:17,4,2025-07-16 10:40:28,4,8.4,"TEMA",2024-09-15 08:03:19,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,1,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f8f94e538-83e7-3344-2d4a-09ad94082937?&start=2025-07-06&end=2025-07-18"")"
"ORANGE STRAIT","311001555","BHS","BHS","9795995","carrier","high","carrier","carrier","MRT","CANSADO",2025-07-22 20:26:28,4,2025-07-29 22:09:47,3,7,"TEMA",2025-06-06 22:00:44,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/5b95ba21d-d462-d166-1993-7571da3d12a8?&start=2025-07-20&end=2025-07-31"")"
