"vessel_name","MMSI","Flag","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","prev_visit_timestamp","mom_general","mom_fishing","mom_fishing_harbor","mom_harbor","mom_drydock","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","percent_ais_voyage","vv_url"
"ZHONGYANG38","412460035","CHN",NA,"fishing","high","fishing","","KEN","MOMBASA",2025-02-22 12:31:04,4,2025-07-10 06:53:09,4,137.8,"MOMBASA",2025-02-22 12:31:04,TRUE,FALSE,TRUE,FALSE,FALSE,16,73.2866666666667,"KEN",FALSE,"ACAP, SWIOFC, IOTC, IWC",TRUE,1,TRUE,2,10.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3d17d101a-ad1d-fd5c-8b23-8905cc399231?&start=2025-02-20&end=2025-07-12"")"
"ZHONGYANG36","412460034","CHN",NA,"fishing","high","fishing","trawlers","MOZ","MAPUTO",2025-07-05 14:31:34,4,2025-07-10 06:45:36,4,4.7,"MOMBASA",2025-03-14 13:33:54,TRUE,FALSE,TRUE,TRUE,FALSE,13,158.923611111111,"KEN, MOZ",FALSE,"SWIOFC, CCSBT, ACAP, IWC, IOTC",TRUE,1,FALSE,0,57.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ca93d9cb6-629f-2a40-6083-b49a6bd3cd7d?&start=2025-07-03&end=2025-07-12"")"
"BOW AQUARIUS","257384000","NOR","9753791","fishing","low","fishing","inconclusive","ZAF","DURBAN",2025-08-03 20:24:51,4,2025-08-09 06:20:24,4,5.4,"MOMBASA",2025-05-14 23:05:43,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3557551f9-935c-7d84-8320-657380f2c7ec?&start=2025-08-01&end=2025-08-11"")"
"DON PASQUALE","259023000","FRO","9138513","fishing","high","fishing","set_longlines","TZA","DAR ES SALAAM",2025-09-02 16:38:46,4,2025-09-03 03:44:02,4,0.5,"MOMBASA",NA,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/54af12dc7-7ad2-43ca-75bc-5df4811a704c?&start=2025-08-31&end=2025-09-05"")"
"ELEKTRA","257248000","NOR","9176577","fishing","high","fishing","trawlers","TZA","DAR ES SALAAM",2025-08-03 12:20:19,4,2025-08-04 07:51:06,4,0.8,"MOMBASA",NA,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6ba1672c0-0f62-e3eb-7d08-1330e3735b3f?&start=2025-08-01&end=2025-08-06"")"
"BOSTON TRADER","636019515","LBR","9282168","carrier","low","other","other","KEN","MOMBASA",2025-07-09 15:22:45,4,2025-07-21 13:00:46,3,11.9,"MOMBASA",2025-07-09 15:22:45,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,NA,FALSE,NA,TRUE,6,FALSE,0,99.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/4c7b3cf8b-b699-d5f1-b0e2-5269f999b0b9?&start=2025-07-07&end=2025-07-23"")"
"TIJARA","457900757","MNG",NA,"fishing","low","fishing","drifting_longline","KEN","MOMBASA",2025-08-14 03:51:24,4,2025-09-19 05:00:49,3,36,"MOMBASA",2025-08-14 03:51:24,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,21,67.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6c9d43187-7083-9521-e68c-63d6407703a8?&start=2025-08-12&end=2025-09-21"")"
"TIJARA","457900757","MNG",NA,"fishing","low","fishing","drifting_longline","KEN","MOMBASA",2025-08-01 09:25:29,4,2025-08-11 23:06:27,4,10.5,"MOMBASA",2025-08-01 09:25:29,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,10,71.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6c9d43187-7083-9521-e68c-63d6407703a8?&start=2025-07-30&end=2025-08-13"")"
"TIJARA","457900757","MNG",NA,"fishing","low","fishing","drifting_longline","KEN","MOMBASA",2025-06-25 12:25:08,4,2025-07-21 05:28:37,4,25.7,"MOMBASA",2025-06-25 12:25:08,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,18,65,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6c9d43187-7083-9521-e68c-63d6407703a8?&start=2025-06-23&end=2025-07-23"")"
"AYLAH 1","511100417","PLW","9683166","fishing","low","other","other","MOZ","MAPUTO",2025-06-22 06:45:11,4,2025-07-10 07:39:40,3,18,"MOMBASA",2024-11-07 16:40:52,TRUE,FALSE,TRUE,FALSE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,2,99.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/d376d1491-1468-acf5-67af-a23ff1ab0718?&start=2025-06-20&end=2025-07-12"")"
"LYRA","677084900","TZA","9155432","carrier","low","other","other","TZA","ZANZIBAR",2025-07-10 21:14:21,4,2025-07-11 12:03:22,4,0.6,"MOMBASA",NA,TRUE,FALSE,TRUE,TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/962bfc3be-e18c-ade6-4a36-b8529b7cd0e2?&start=2025-07-08&end=2025-07-13"")"
