vessel_name,MMSI,Flag,imo,vessel_class_cat,vessel_class_confidence,vessel_class,vessel_type,previous_port_country,previous_port,trip_start,trip_start_confidence,trip_end,trip_end_confidence,trip_duration_days,end_port,prev_visit_timestamp,mom_general,mom_fishing,mom_fishing_harbor,mom_harbor,mom_drydock,fishing,fishing_hours,fishing_eez,fishing_hs,fishing_rfmos,encounter,num_encounters,loitering,num_loitering,AISdisabling,num_AISdisabling,percent_ais_voyage,vv_url
ZHONGYANG38,412460035,CHN,NA,fishing,high,fishing,,KEN,KILIFI,09/07/2025 12:31,2,10/07/2025 06:53,4,1,MOMBASA,22/02/2025 12:31,TRUE,FALSE,TRUE,FALSE,FALSE,16,73.28666667,KEN,FALSE,"ACAP, SWIOFC, IOTC, IWC",TRUE,1,TRUE,2,FALSE,0,10.3,https://globalfishingwatch.org/map/vessel/3d17d101a-ad1d-fd5c-8b23-8905cc399231?&start=2025-02-20&end=2025-07-12
ZHONGYANG38,412460035,CHN,NA,fishing,high,fishing,,KEN,MOMBASA,10/07/2025 06:53,4,10/07/2025 06:53,4,1,KILIFI,09/07/2025 12:31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,NA,FALSE,"ACAP, SWIOFC, IOTC, IWC",TRUE,1,FALSE,0,FALSE,0,100,https://globalfishingwatch.org/map/vessel/3d17d101a-ad1d-fd5c-8b23-8905cc399231?&start=2025-07-08&end=2025-07-12
ZHONGYANG36,412460034,CHN,NA,fishing,high,fishing,trawlers,MOZ,MAPUTO,05/07/2025 14:31,4,09/07/2025 06:45,2,4.7,KILIFI,14/03/2025 13:33,FALSE,FALSE,FALSE,FALSE,FALSE,13,158.9236111,MOZ,FALSE,"SWIOFC, CCSBT, ACAP, IWC, IOTC",FALSE,0,FALSE,0,FALSE,0,57.5,https://globalfishingwatch.org/map/vessel/ca93d9cb6-629f-2a40-6083-b49a6bd3cd7d?&start=2025-07-03&end=2025-07-12
ZHONGYANG36,412460034,CHN,NA,fishing,high,fishing,trawlers,KEN,KILIFI,09/07/2025 14:31,4,10/07/2025 06:45,4,1,MOMBASA,10/07/2025 13:33,TRUE,FALSE,TRUE,TRUE,FALSE,13,158.9236111,KEN,FALSE,"SWIOFC, CCSBT, ACAP, IWC, IOTC",TRUE,1,FALSE,0,FALSE,0,100,https://globalfishingwatch.org/map/vessel/ca93d9cb6-629f-2a40-6083-b49a6bd3cd7d?&start=2025-07-08&end=2025-07-12
TIJARA,457900757,KEN,NA,fishing,low,fishing,drifting_longline,KEN,MOMBASA,14/08/2025 03:51,4,19/09/2025 05:00,3,36,MOMBASA,14/08/2025 03:51,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,21,FALSE,0,67.2,https://globalfishingwatch.org/map/vessel/6c9d43187-7083-9521-e68c-63d6407703a8?&start=2025-08-12&end=2025-09-21
TIJARA,457900757,KEN,NA,fishing,low,fishing,drifting_longline,KEN,MOMBASA,01/08/2025 09:25,4,11/08/2025 23:06,4,10.5,MOMBASA,01/08/2025 09:25,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,10,FALSE,0,71.8,https://globalfishingwatch.org/map/vessel/6c9d43187-7083-9521-e68c-63d6407703a8?&start=2025-07-30&end=2025-08-13
TIJARA,457900757,KEN,NA,fishing,low,fishing,drifting_longline,KEN,MOMBASA,25/06/2025 12:25,4,21/07/2025 05:28,4,25.7,MOMBASA,25/06/2025 12:25,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,18,FALSE,0,65,https://globalfishingwatch.org/map/vessel/6c9d43187-7083-9521-e68c-63d6407703a8?&start=2025-06-23&end=2025-07-23
AL MARWAN 4,417102231,SRI,NA,NA,NA,NA,NA,NA,NA,NA,NA,18/08/2025 02:00,2,NA,LAMU,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,5,https://globalfishingwatch.org/map/fishing-activity/default-public/vessel/e2ef50ea0-0659-430a-4cd7-08a279f217be?dvIn[0][id]=vessel-e2ef50ea0-0659-430a-4cd7-08a279f217be&dvIn[0][dvId]=fishing-map-vessel-track-v-3&dvIn[0][cfg][track]=~1&dvIn[0][cfg][info]=public-global-vessel-identity%3Av3.0&dvIn[0][cfg][events][0]=~3&dvIn[0][cfg][events][1]=~4&dvIn[0][cfg][events][2]=~5&dvIn[0][cfg][events][3]=~6&dvIn[0][cfg][events][4]=~7&dvIn[0][cfg][clr]=%23F09300&dvIn[0][cfg][vis]=true&dvIn[0][dT]=false&dvIn[1][id]=ais&dvIn[1][cfg][vis]=false&dvIn[2][id]=vms&dvIn[2][cfg][vis]=false&dvIn[3][id]=vessel-1c3dd9ed8-87b8-557c-e9e1-c22886f9d767&dvIn[3][dvId]=fishing-map-vessel-track-v-3&dvIn[3][cfg][track]=~1&dvIn[3][cfg][info]=public-global-vessel-identity%3Av3.0&dvIn[3][cfg][events][0]=~3&dvIn[3][cfg][events][1]=~4&dvIn[3][cfg][events][2]=~5&dvIn[3][cfg][events][3]=~6&dvIn[3][cfg][events][4]=~7&dvIn[3][cfg][clr]=%2333B679&dvIn[3][dT]=false&dvIn[4][id]=vessel-ca93d9cb6-629f-2a40-6083-b49a6bd3cd7d&dvIn[4][dvId]=fishing-map-vessel-track-v-3&dvIn[4][cfg][clr]=%23F95E5E&dvIn[4][cfg][info]=public-global-vessel-identity%3Av3.0&dvIn[4][cfg][track]=~1&dvIn[4][cfg][events][0]=~3&dvIn[4][cfg][events][1]=~4&dvIn[4][cfg][events][2]=~5&dvIn[4][cfg][events][3]=~6&dvIn[4][cfg][events][4]=~7&dvIn[4][cfg][rVIs][0]=02998712f-ffa6-d93d-1fd8-22b50ce4d5e2&dvIn[4][cfg][rVIs][1]=08259edfb-b2f8-a671-4f24-0fed53f228e5&dvIn[4][cfg][vis]=false&dvIn[4][dT]=false&longitude=41.26847594185102&latitude=-1.1282657478810505&zoom=6.9901521135821305&lTD=&fTD=&tV=vessel&bDV&tk[0]=fishing-map-vessel-track-v-3&tk[1]=public-global-all-tracks%3Av3.0&tk[2]=public-global-vessel-identity%3Av3.0&tk[3]=public-global-fishing-events%3Av3.0&tk[4]=public-global-port-visits-events%3Av3.1&tk[5]=public-global-encounters-events%3Av3.0&tk[6]=public-global-loitering-events%3Av3.0&tk[7]=public-global-gaps-events%3Av3.0&vDi=public-global-vessel-identity%3Av3.0&vIs=selfReportedInfo&vSRi=e2ef50ea0-0659-430a-4cd7-08a279f217be&vE[0]=loitering&vE[1]=encounter&vE[2]=port_visit&trackCorrectionId=&start=2025-08-17T22%3A00%3A00.000Z&end=2025-08-19T00%3A00%3A00.000Z
T,500008222,unknown,NA,fishing,low,fishing,unknown,KEN,LAMU,04/07/2025 07:00,3,12/07/2025 05:48,3,7,LAMU,26/06/2025 08:30,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,SOM,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,https://globalfishingwatch.org/map/fishing-activity/default-public?dvIn[0][id]=context-layer-eez&dvIn[0][cfg][vis]=true&dvIn[1][id]=basemap&dvIn[1][cfg][basemap]=satellite&dvIn[2][id]=vessel-e2ef50ea0-0659-430a-4cd7-08a279f217be&dvIn[2][dvId]=fishing-map-vessel-track-v-3&dvIn[2][cfg][track]=~1&dvIn[2][cfg][info]=public-global-vessel-identity%3Av3.0&dvIn[2][cfg][events][0]=~3&dvIn[2][cfg][events][1]=~4&dvIn[2][cfg][events][2]=~5&dvIn[2][cfg][events][3]=~6&dvIn[2][cfg][events][4]=~7&dvIn[2][cfg][clr]=%23F09300&dvIn[2][cfg][vis]=true&dvIn[2][dT]=false&dvIn[3][id]=ais&dvIn[3][cfg][vis]=false&dvIn[4][id]=vms&dvIn[4][cfg][vis]=false&dvIn[5][id]=vessel-1c3dd9ed8-87b8-557c-e9e1-c22886f9d767&dvIn[5][dvId]=fishing-map-vessel-track-v-3&dvIn[5][cfg][track]=~1&dvIn[5][cfg][info]=public-global-vessel-identity%3Av3.0&dvIn[5][cfg][events][0]=~3&dvIn[5][cfg][events][1]=~4&dvIn[5][cfg][events][2]=~5&dvIn[5][cfg][events][3]=~6&dvIn[5][cfg][events][4]=~7&dvIn[5][cfg][clr]=%2333B679&dvIn[5][cfg][vis]=true&dvIn[5][dT]=false&dvIn[6][id]=vessel-ca93d9cb6-629f-2a40-6083-b49a6bd3cd7d&dvIn[6][dvId]=fishing-map-vessel-track-v-3&dvIn[6][cfg][clr]=%23F95E5E&dvIn[6][cfg][info]=public-global-vessel-identity%3Av3.0&dvIn[6][cfg][track]=~1&dvIn[6][cfg][events][0]=~3&dvIn[6][cfg][events][1]=~4&dvIn[6][cfg][events][2]=~5&dvIn[6][cfg][events][3]=~6&dvIn[6][cfg][events][4]=~7&dvIn[6][cfg][rVIs][0]=02998712f-ffa6-d93d-1fd8-22b50ce4d5e2&dvIn[6][cfg][rVIs][1]=08259edfb-b2f8-a671-4f24-0fed53f228e5&dvIn[6][cfg][vis]=false&dvIn[6][dT]=false&longitude=41.106662306179096&latitude=-2.127950101465794&zoom=9.458787220968267&lTD=&fTD=&tV=vessel&bDV&tk[0]=fishing-map-vessel-track-v-3&tk[1]=public-global-all-tracks%3Av3.0&tk[2]=public-global-vessel-identity%3Av3.0&tk[3]=public-global-fishing-events%3Av3.0&tk[4]=public-global-port-visits-events%3Av3.1&tk[5]=public-global-encounters-events%3Av3.0&tk[6]=public-global-loitering-events%3Av3.0&tk[7]=public-global-gaps-events%3Av3.0&vDi=public-global-vessel-identity%3Av3.0&vIs=selfReportedInfo&vSRi=1c3dd9ed8-87b8-557c-e9e1-c22886f9d767&vE[0]=encounter&vE[1]=port_visit&trackCorrectionId=&start=2025-07-05T00%3A00%3A00.000Z&end=2025-07-13T00%3A00%3A00.000Z
T,500008222,unknown,NA,fishing,low,fishing,unknown,KEN,LAMU,01/08/2025 04:00,3,08/08/2025 21:00,3,6,LAMU,12/07/2025 05:48,FALSE,FALSE,FALSE,FALSE,FALSE,1,83,SOM,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,https://globalfishingwatch.org/map/fishing-activity/default-public/vessel/1c3dd9ed8-87b8-557c-e9e1-c22886f9d767?dvIn[0][id]=basemap&dvIn[0][cfg][basemap]=satellite&dvIn[1][id]=vessel-e2ef50ea0-0659-430a-4cd7-08a279f217be&dvIn[1][dvId]=fishing-map-vessel-track-v-3&dvIn[1][cfg][track]=~1&dvIn[1][cfg][info]=public-global-vessel-identity%3Av3.0&dvIn[1][cfg][events][0]=~3&dvIn[1][cfg][events][1]=~4&dvIn[1][cfg][events][2]=~5&dvIn[1][cfg][events][3]=~6&dvIn[1][cfg][events][4]=~7&dvIn[1][cfg][clr]=%23F09300&dvIn[1][cfg][vis]=true&dvIn[1][dT]=false&dvIn[2][id]=ais&dvIn[2][cfg][vis]=false&dvIn[3][id]=vms&dvIn[3][cfg][vis]=false&dvIn[4][id]=vessel-1c3dd9ed8-87b8-557c-e9e1-c22886f9d767&dvIn[4][dvId]=fishing-map-vessel-track-v-3&dvIn[4][cfg][track]=~1&dvIn[4][cfg][info]=public-global-vessel-identity%3Av3.0&dvIn[4][cfg][events][0]=~3&dvIn[4][cfg][events][1]=~4&dvIn[4][cfg][events][2]=~5&dvIn[4][cfg][events][3]=~6&dvIn[4][cfg][events][4]=~7&dvIn[4][cfg][clr]=%2333B679&dvIn[4][cfg][vis]=true&dvIn[4][dT]=false&dvIn[5][id]=vessel-ca93d9cb6-629f-2a40-6083-b49a6bd3cd7d&dvIn[5][dvId]=fishing-map-vessel-track-v-3&dvIn[5][cfg][clr]=%23F95E5E&dvIn[5][cfg][info]=public-global-vessel-identity%3Av3.0&dvIn[5][cfg][track]=~1&dvIn[5][cfg][events][0]=~3&dvIn[5][cfg][events][1]=~4&dvIn[5][cfg][events][2]=~5&dvIn[5][cfg][events][3]=~6&dvIn[5][cfg][events][4]=~7&dvIn[5][cfg][rVIs][0]=02998712f-ffa6-d93d-1fd8-22b50ce4d5e2&dvIn[5][cfg][rVIs][1]=08259edfb-b2f8-a671-4f24-0fed53f228e5&dvIn[5][cfg][vis]=false&dvIn[5][dT]=false&longitude=42.01295905799963&latitude=-1.257907291364283&zoom=7.471396945017982&lTD=&fTD=&tV=vessel&bDV&tk[0]=fishing-map-vessel-track-v-3&tk[1]=public-global-all-tracks%3Av3.0&tk[2]=public-global-vessel-identity%3Av3.0&tk[3]=public-global-fishing-events%3Av3.0&tk[4]=public-global-port-visits-events%3Av3.1&tk[5]=public-global-encounters-events%3Av3.0&tk[6]=public-global-loitering-events%3Av3.0&tk[7]=public-global-gaps-events%3Av3.0&vDi=public-global-vessel-identity%3Av3.0&vIs=selfReportedInfo&vSRi=1c3dd9ed8-87b8-557c-e9e1-c22886f9d767&vE[0]=encounter&vE[1]=port_visit&vE[2]=fishing&trackCorrectionId=&start=2025-07-31T00%3A00%3A00.000Z&end=2025-08-10T00%3A00%3A00.000Z&vS=activity
