"vessel_name","MMSI","Flag","AIS_Flag","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","prev_visit_timestamp","entrance","navy","west_basin","mid_basin","east_basin","container","dak_fishing","dak_offshore","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","AISdisabling","num_AISdisabling","percent_ais_voyage","vv_url"
"YANGMING8001","412209195","CHN","CHN",NA,"fishing","high","fishing","unknown","SEN","DAKAR",2025-06-12 19:31:13,4,2025-07-01 03:12:18,4,18.3,"DAKAR",2025-06-12 19:31:13,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,10,47.0888888888889,"GNB",FALSE,"ICCAT, SRFC, IWC, NAMMCO, ACAP",FALSE,0,TRUE,1,FALSE,0,25,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2e5f4ad48-88f3-9803-7051-7a03e4d7c782?&start=2025-06-10&end=2025-07-03"")"
"CIUDAD DE HUELVA","225987981","ESP","ESP","8740955","fishing","high","fishing","trawlers","GNB","BISSAU",2025-05-19 03:36:28,4,2025-07-01 08:40:08,4,43.2,"DAKAR",2025-05-17 18:30:20,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,220,14224.1222222222,"GNB, SEN",FALSE,"ICCAT, SRFC, NAMMCO, ACAP, IWC",FALSE,0,TRUE,1,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/45fc67c5f-ffbb-8088-09a3-4baf211463bb?&start=2025-05-17&end=2025-07-03"")"
"PEIX MAR 25","224033000","ESP","ESP","8733744","fishing","high","fishing","trawlers","GNB","BISSAU",2025-05-31 06:16:26,4,2025-07-02 05:25:01,4,32,"DAKAR",2025-01-22 20:45:55,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,440,14668.3277777778,"SEN, GNB",FALSE,"ICCAT, NAMMCO, IWC, ACAP, SRFC",FALSE,0,TRUE,7,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3740d2e32-20fd-74e7-2399-a4ef41b13bf8?&start=2025-05-29&end=2025-07-04"")"
"JOMAFRAN SEGUNDO","225995265","","ESP",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-07-02 12:31:35,4,2025-07-03 00:54:46,4,0.5,"DAKAR",2025-07-02 12:31:35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cbd74e07f-fa3d-b182-eee3-802733bc5d5e?&start=2025-06-30&end=2025-07-05"")"
"YANGMING8032","412209009","","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-07-01 23:46:39,4,2025-07-03 01:05:30,4,1,"DAKAR",2025-07-01 23:46:39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,74.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/fff3fc565-577b-cea2-43c6-9e6c215281f7?&start=2025-06-29&end=2025-07-05"")"
"MIN LONG YU61146","412444322","CHN","CHN",NA,"fishing","low","fishing","trawlers","GNB","BISSAU",2025-07-01 23:43:52,3,2025-07-03 10:18:46,4,1.4,"DAKAR",2025-06-14 16:13:50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,TRUE,1,FALSE,0,FALSE,0,30.6,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3d85e312f-f420-4646-1a9a-f1c99f636999?&start=2025-06-29&end=2025-07-05"")"
"HAI FENG 823","412660240","CHN","CHN","8863496","carrier","high","carrier","carrier","GNB","BISSAU",2025-07-01 19:31:45,4,2025-07-03 10:19:01,4,1.6,"DAKAR",2025-06-14 16:12:46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,TRUE,1,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/d9b062f9d-de93-3a60-dd7c-87572c21a53b?&start=2025-06-29&end=2025-07-05"")"
"EGALUZE","224580000","ESP","ESP","8109620","fishing","high","fishing","purse_seines","SEN","DAKAR",2025-06-15 13:13:44,4,2025-07-03 18:49:46,4,18.2,"DAKAR",2025-06-15 13:13:44,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,10,61.2777777777778,"MRT",FALSE,"SRFC, ACAP, NAMMCO, IWC, ICCAT",FALSE,0,TRUE,1,TRUE,1,37.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a0aa90604-4562-1097-2a1e-56ca4a57e84f?&start=2025-06-13&end=2025-07-05"")"
"PLAYA DE LAGA","312360000","BLZ","BLZ","9719800","fishing","med","fishing","purse_seines","CPV","MINDELO",2025-06-26 08:11:17,4,2025-07-03 20:03:06,4,7.5,"DAKAR",2025-05-08 15:46:15,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,15,13.2875,"SEN",FALSE,"NAMMCO, SRFC, ICCAT, ACAP, IWC",FALSE,0,TRUE,1,FALSE,0,23.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cc6b54a24-4542-6ce9-1e91-d4f17daeeda5?&start=2025-06-24&end=2025-07-05"")"
"ZILLARRI","312507000","BLZ","BLZ","9095266","fishing","low","support","purse_seine_support","CPV","MINDELO",2025-07-02 13:05:03,4,2025-07-03 20:03:52,4,1.3,"DAKAR",NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,93.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1eb24bd25-5b68-347b-9498-ad3df136de22?&start=2025-06-30&end=2025-07-05"")"
