MMSI,Name,Type
224282000,ALFONSO RIERA TERCERO,Fishing Vessel
663092000,AMINE,Fishing Vessel
209882000,BALTIC JASMINE,Refrigerated Cargo Ship
224098930,BERRIZ SAN FRANCISCO,Fishing Vessel
663270000,CAP ATLANTIQUE,Fishing Vessel
663500001,CASTLETOWN,Fishing Vessel
311000791,CROWN JADE,Refrigerated Cargo Ship
440782000,DONG WON NO. 211,Fishing Vessel
311000644,FEGULUS,Refrigerated Cargo Ship
412440815,FU YUAN YU 7853,Fishing Vessel
412440839,FU YUAN YU 7855,Fishing Vessel
412440841,FU YUAN YU 7856,Fishing Vessel
629009266,GABU REEFER,Refrigerated Cargo Ship
663167000,GOBER CINCO,Fishing Vessel
224068180,GOBER CUARTO,Fishing Vessel
224013270,GOBER TERCERO,Fishing Vessel
663141000,GRANADA,Fishing Vessel
412660240,HAI FENG 823,Refrigerated Cargo Ship
271073280,ILHAN YILMAZ 3,Fishing Vessel
224019630,IRIBAR-ZULAIKA,Fishing Vessel
412549565,JIN FENG 2,Fishing Vessel
663521000,KANBAL III,Fishing Vessel
412331041,LU PENG YUAN YU 029,Fishing Vessel
412371179,LU QING YUAN YU 200,Fishing Vessel
359102000,MONTECELO,Fishing Vessel
359101000,MONTEFRISA NUEVE,Fishing Vessel
355855000,MONTELAURA,Refrigerated Cargo Ship
663178000,NUEVO NOSO LAR,Fishing Vessel
663225000,ORIENTAL KIM,Fishing Vessel
441242000,ORYONG NO. 373,Fishing Vessel
663285000,PDT MAGATTE AYA DIACK II,Fishing Vessel
224896000,PILAR TORRE,Fishing Vessel
663136000,PONT SAINT LOUIS,Fishing Vessel
224706000,RELEIXO,Fishing Vessel
224009000,RIODOMAR CUARTO,Fishing Vessel
224394000,RIODOMAR QUINTO,Fishing Vessel
663226000,SEA DEFENDER,Fishing Vessel
271072122,TURKMENLER,Fishing Vessel
224739000,V CENTENARIO,Refrigerated Cargo Ship
663147000,WESTERN KIM,Fishing Vessel
663195000,XIXILI,Fishing Vessel
663093000,AMINE,Fishing Vessel
663102000,ANTA SARR,Fishing Vessel
412549093,BO YUAN 17,Fishing Vessel
663037000,BOROM DARADJI,Fishing Vessel
663176000,CARVISA DOS,Fishing Vessel
416121900,CHUN FA NO. 888,Fishing Vessel
416379000,FENG YA No. 11,Fishing Vessel
416004522,FENG YA NO. 18,Fishing Vessel
412440814,FU YUAN YU 7852,Fishing Vessel
412440842,FU YUAN YU 7857,Fishing Vessel
412440796,FU YUAN YU 7858,Fishing Vessel
412440797,FU YUAN YU 7859,Fishing Vessel
416173800,FULL KUO SHENG,Fishing Vessel
271069004,ILHAN YILMAZ-1,Fishing Vessel
663131000,KANBAL II,Fishing Vessel
416128800,KAO FONG NO. 1,Fishing Vessel
663111111,LAGHEM I,Fishing Vessel
412331027,LU QING YUAN YU 021,Fishing Vessel
412331029,LU QING YUAN YU 023,Fishing Vessel
412331033,LU QING YUAN YU 028,Fishing Vessel
416005033,MAAN FARN NO. 168,Fishing Vessel
416004838,MAAN FWU NO. 666,Fishing Vessel
663218000,MASEOUD NO. 1,Fishing Vessel
663219000,MASEOUD NO. 2,Fishing Vessel
663220000,MASEOUD NO. 3,Fishing Vessel
659034000,NATA 2,Fishing Vessel
663192000,OCEAN PESCA III,Fishing Vessel
663168000,ONUDAK I,Fishing Vessel
663169000,ONUDAK II,Fishing Vessel
663128000,PLAYA DE DAKAR,Fishing Vessel
663000000,RAMATOULAYE,Fishing Vessel
412217977,RUI TAI FENG 88,Refrigerated Cargo Ship
663039000,SEGUNDO SAN RAFAEL,Fishing Vessel
659019000,SHANG FU,Fishing Vessel
663129000,SIERRA DE DAKAR,Fishing Vessel
412420878,ZHEN YUAN YU 828,Fishing Vessel
412549152,ZHONG YUE 88,Fishing Vessel
412549153,ZHONG YUE 89,Fishing Vessel
412400790,ZHOU YU LENG 7,Refrigerated Cargo Ship
224023480,MAR DE ALBA,
266154000,BRAZIL,
412280992,YUANYU21,
412420882,ZHENYUANYU822,
416004708,YUNG CHI NO.166,
416004904,MAAN  FARN  NO.1,
