"vessel_name","MMSI","Flag","AIS_Flag","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","at_dock","abj_lagoon","abj_vridi","abj_cargo","abj_fishing","abj_offshore","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","percent_ais_voyage","vv_url"
"EGALABUR","312078000","BLZ","BLZ","9710995","fishing","low","cargo","cargo","STP","SAO TOME",2025-05-15 19:23:16,4,2025-05-29 13:47:15,4,13.8,"ABIDJAN",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,TRUE,1,13,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e381c1064-4581-8291-c3dc-2be09ac071b9?&start=2025-05-13&end=2025-05-31"")"
"EGALABUR","312078000","BLZ","BLZ","9710995","fishing","low","cargo","cargo","SEN","DAKAR",2025-04-27 16:48:00,4,2025-05-09 14:01:05,4,11.9,"ABIDJAN",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,31,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e381c1064-4581-8291-c3dc-2be09ac071b9?&start=2025-04-25&end=2025-05-11"")"
"EGALABUR","312078000","BLZ","BLZ","9710995","fishing","low","cargo","cargo","CIV","ABIDJAN",2025-06-02 07:55:20,4,2025-06-28 06:45:02,4,25.9,"ABIDJAN",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,TRUE,1,17.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e381c1064-4581-8291-c3dc-2be09ac071b9?&start=2025-05-31&end=2025-06-30"")"
"JC GLORIA","312155000","BLZ","BLZ","8988818","fishing","low","cargo","cargo","CIV","ABIDJAN",2025-06-08 09:52:09,4,2025-06-26 07:40:40,4,17.9,"ABIDJAN",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,16,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ba4343d28-82b7-2393-0c4d-15ac0c4951fb?&start=2025-06-06&end=2025-06-28"")"
"JC GLORIA","312155000","BLZ","BLZ","8988818","fishing","low","cargo","cargo","CIV","ABIDJAN",2025-04-29 14:05:43,4,2025-06-03 07:25:49,4,34.7,"ABIDJAN",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,5.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ba4343d28-82b7-2393-0c4d-15ac0c4951fb?&start=2025-04-27&end=2025-06-05"")"
"LIBRA","277327000","LTU","LTU","9009683","carrier","high","carrier","carrier","MRT","CANSADO",2025-06-18 14:50:31,4,2025-06-24 23:23:54,4,6.3,"ABIDJAN",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c4f5dd543-3c32-676f-2e07-f9a8b9b6b35a?&start=2025-06-16&end=2025-06-26"")"
"GREEN BRAZIL","309681000","BHS","BHS",NA,"carrier","high","carrier","carrier","NGA","LAGOS",2025-04-26 22:34:57,4,2025-04-28 15:33:51,4,1.7,"ABIDJAN",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ffc999ae0-0ca9-8e3b-7eef-21d426de0782?&start=2025-04-24&end=2025-04-30"")"
"ORANGE SEA","311000713","BHS","BHS","9795971","carrier","high","carrier","carrier","CMR","DOUALA",2025-06-07 07:31:20,4,2025-06-10 23:07:17,4,3.6,"ABIDJAN",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,TRUE,1,TRUE,1,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f8f94e538-83e7-3344-2d4a-09ad94082937?&start=2025-06-05&end=2025-06-12"")"
"COPPENAME","311001173","BHS","BHS","8807636","carrier","high","carrier","carrier","NAM","WALVIS BAY",2025-04-18 12:36:24,4,2025-04-30 19:28:29,4,12.3,"ABIDJAN",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,TRUE,4,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cedbb451f-f3bf-f994-f27f-32afcd7a4c9d?&start=2025-04-16&end=2025-05-02"")"
"GREEN AUSTEVOLL","311043800","BHS","BHS","8819299","carrier","high","carrier","carrier","MRT","CANSADO",2025-04-11 12:44:09,4,2025-04-16 15:00:18,4,5.1,"ABIDJAN",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cf9115228-8845-42fd-16a4-f8cad1d3d405?&start=2025-04-09&end=2025-04-18"")"
"COOL GIRL","354294000","PAN","PAN","9194921","carrier","low","carrier","carrier","CHL","CORONEL",2025-04-17 11:29:21,4,2025-05-07 07:57:29,4,19.8,"ABIDJAN",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,98.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ad9a86c7c-cdba-b3c9-c490-ef49adf8c407?&start=2025-04-15&end=2025-05-09"")"
"MARTA REEFER","355295000","PAN","PAN","9174701","carrier","high","carrier","carrier","COD","BOMA",2025-05-22 08:24:16,4,2025-05-26 08:25:51,4,4,"ABIDJAN",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,97.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/bcb7b9666-6e7b-c035-a144-c0c6a909f2a3?&start=2025-05-20&end=2025-05-28"")"
"MONTELAURA","355855000","PAN","PAN","7625500","carrier","high","carrier","carrier","ESP","ESP-269",2025-04-01 14:25:40,4,2025-04-15 06:34:41,4,13.7,"ABIDJAN",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/115b89b37-784e-18ae-2885-d92d06a99119?&start=2025-03-30&end=2025-04-17"")"
"MONTELAURA","355855000","PAN","PAN","7625500","carrier","high","carrier","carrier","ESP","LAS PALMAS",2025-05-27 15:03:52,4,2025-06-05 05:50:46,4,8.6,"ABIDJAN",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/115b89b37-784e-18ae-2885-d92d06a99119?&start=2025-05-25&end=2025-06-07"")"
"VOLTA GLORY","627047000","GHA","GHA","8323604","carrier","high","carrier","carrier","GHA","TEMA",2025-06-25 16:36:10,4,2025-06-26 17:15:57,4,1,"ABIDJAN",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/321c72ecf-fb14-deda-49a2-2451e9e35a47?&start=2025-06-23&end=2025-06-28"")"
"CARIBBEAN STAR","636013068","LBR","LBR","9150810","carrier","low","carrier","carrier","GHA","TEMA",2025-04-16 13:46:33,4,2025-04-17 19:18:14,4,1.2,"ABIDJAN",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6215b49b8-8d6d-c4dc-240a-8d5e38e826d6?&start=2025-04-14&end=2025-04-19"")"
"CARIBBEAN STAR","636013068","LBR","LBR","9150810","carrier","low","carrier","carrier","BEL","ANTWERP",2025-06-06 14:25:01,4,2025-06-16 19:50:13,4,10.2,"ABIDJAN",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6215b49b8-8d6d-c4dc-240a-8d5e38e826d6?&start=2025-06-04&end=2025-06-18"")"
